ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,0,1000000,1000000,1,
122,HCBZ,50,0,1000000,1000000,1,
125,LMS,50,0,1000000,1000000,1,
126,TFGC,50,0,1000000,1000000,1,
129,STYG,50,0,1000000,1000000,1,
132,HCNZ,50,0,1000000,1000000,1,
135,FHY,50,1,167.3,3.15,1,
141,SH,50,1,172.18,3.24,1,
143,WGS,50,0,1000000,1000000,1,
154,KXC,50,1,167.02,3.14,1,
221,XP,50,1,187.91,3.56,2,
229,YPTX,50,1,153.95,2.88,2,
232,ZYDSYY,50,1,154.75,2.89,2,
236,CXL,50,0,1000000,1000000,2,
242,CDDKZ,50,1,171.4,3.23,2,
252,LQY,50,1,103.02,1.86,2,
348,SLXZ,50,0,1000000,1000000,3,
340,WQNL,50,1,136.44,2.53,3,
337,TPY,50,1,112.12,2.04,3,
335,GSQ,50,0,1000000,1000000,3,
329,SEYY,50,0,1000000,1000000,3,
325,SMQ,50,0,1000000,1000000,3,
312,CDYXY,50,0,1000000,1000000,3,
413,WS,50,0,1000000,1000000,4,
424,CDXZ,50,0,1000000,1000000,4,
426,WHG,50,0,1000000,1000000,4,
437,HSD,50,0,1000000,1000000,4,
442,XHZ,50,1,183.06,3.46,4,
520,HGL,50,1,111.63,2.03,5,
536,BZXEL,50,1,192.85,3.66,5,
546,SXS,50,1,131.58,2.43,5,
550,JCDD,50,0,1000000,1000000,5,
560,HL,50,1,103.4,1.87,5,
610,WCC,50,0,1000000,1000000,6,
612,XNJD,50,0,1000000,1000000,6,
613,XBQ,50,1,111.22,2.02,6,
614,RMBL,50,1,162.37,3.05,6,
615,QFL,50,1,190.02,3.6,6,
616,YSL,50,0,1000000,1000000,6,
617,NWM,50,0,1000000,1000000,6,
618,DG,50,0,1000000,1000000,6,
619,LLC,50,1,119.29,2.19,6,
621,XBC,50,1,166.15,3.12,6,
623,LJG,50,1,136.54,2.53,6,
727,CJD,50,1,146.27,2.73,7,
726,LGDX,50,1,174.67,3.29,7,
810,SLD,50,0,1000000,1000000,8,
812,SQL,50,1,188.1,3.56,8,
813,DDL,50,0,1000000,1000000,8,
815,NJQ,50,1,195.9,3.72,8,
816,JXDD,50,1,130.51,2.41,8,
817,GPDD,50,1,192.22,3.64,8,
818,SY,50,0,1000000,1000000,8,
819,LH,50,1,166.59,3.13,8,
901,JRCD,50,1,177.24,3.34,9,
907,HX,50,0,1000000,1000000,9,
913,HTB,50,1,113.74,2.07,9,
1036,XP,50,0,1000000,1000000,10,
