ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,1,162.04,3.04,1,
122,HCBZ,50,1,196.64,3.73,1,
125,LMS,50,0,1000000,1000000,1,
126,TFGC,50,1,111.1,2.02,1,
129,STYG,50,1,162.13,3.04,1,
132,HCNZ,50,0,1000000,1000000,1,
135,FHY,50,0,1000000,1000000,1,
141,SH,50,0,1000000,1000000,1,
143,WGS,50,0,1000000,1000000,1,
154,KXC,50,0,1000000,1000000,1,
221,XP,50,0,1000000,1000000,2,
229,YPTX,50,0,1000000,1000000,2,
232,ZYDSYY,50,0,1000000,1000000,2,
236,CXL,50,0,1000000,1000000,2,
242,CDDKZ,50,0,1000000,1000000,2,
252,LQY,50,1,181.65,3.43,2,
348,SLXZ,50,1,152.09,2.84,3,
340,WQNL,50,0,1000000,1000000,3,
337,TPY,50,1,128.97,2.38,3,
335,GSQ,50,0,1000000,1000000,3,
329,SEYY,50,0,1000000,1000000,3,
325,SMQ,50,0,1000000,1000000,3,
312,CDYXY,50,1,151.39,2.83,3,
413,WS,50,0,1000000,1000000,4,
424,CDXZ,50,1,117.79,2.16,4,
426,WHG,50,0,1000000,1000000,4,
437,HSD,50,0,1000000,1000000,4,
442,XHZ,50,0,1000000,1000000,4,
520,HGL,50,0,1000000,1000000,5,
536,BZXEL,50,0,1000000,1000000,5,
546,SXS,50,0,1000000,1000000,5,
550,JCDD,50,1,132.34,2.45,5,
560,HL,50,0,1000000,1000000,5,
610,WCC,50,1,191.75,3.64,6,
612,XNJD,50,1,154.15,2.88,6,
613,XBQ,50,1,158.01,2.96,6,
614,RMBL,50,0,1000000,1000000,6,
615,QFL,50,1,189.47,3.59,6,
616,YSL,50,1,110.58,2.01,6,
617,NWM,50,0,1000000,1000000,6,
618,DG,50,1,179.79,3.4,6,
619,LLC,50,0,1000000,1000000,6,
621,XBC,50,1,125.75,2.31,6,
623,LJG,50,0,1000000,1000000,6,
727,CJD,50,1,118.38,2.17,7,
726,LGDX,50,1,146.11,2.72,7,
810,SLD,50,1,171.99,3.24,8,
812,SQL,50,0,1000000,1000000,8,
813,DDL,50,1,196.5,3.73,8,
815,NJQ,50,1,128.98,2.38,8,
816,JXDD,50,0,1000000,1000000,8,
817,GPDD,50,1,159.62,2.99,8,
818,SY,50,1,182.41,3.45,8,
819,LH,50,0,1000000,1000000,8,
901,JRCD,50,0,1000000,1000000,9,
907,HX,50,1,137.77,2.56,9,
913,HTB,50,0,1000000,1000000,9,
1036,XP,50,0,1000000,1000000,10,
