ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,0,1000000,1000000,1
122,HCBZ,50,0,1000000,1000000,1
125,LMS,50,0,1000000,1000000,1
126,TFGC,50,1,129.92,2.4,1
129,STYG,50,1,113.63,2.07,1
132,HCNZ,50,0,1000000,1000000,1
141,SH,50,0,1000000,1000000,1
143,WGS,50,1,157.78,2.96,1
154,KXC,50,1,152.59,2.85,1
221,XP,50,1,183.01,3.46,2
229,YPTX,50,1,130.96,2.42,2
232,ZYDSYY,50,1,131,2.42,2
236,CXL,50,0,1000000,1000000,2
242,CDDKZ,50,0,1000000,1000000,2
252,LQY,50,1,151.68,2.83,2
348,SLXZ,50,0,1000000,1000000,3
337,TPY,50,1,130.74,2.41,3
335,GSQ,50,1,198.15,3.76,3
329,SEYY,50,0,1000000,1000000,3
325,SMQ,50,1,182.22,3.44,3
312,CDYXY,50,0,1000000,1000000,3
413,WS,50,0,1000000,1000000,4
426,WHG,50,0,1000000,1000000,4
437,HSD,50,1,150.53,2.81,4
442,XHZ,50,0,1000000,1000000,4
520,HGL,50,1,135.69,2.51,5
536,BZXEL,50,0,1000000,1000000,5
546,SXS,50,1,181.32,3.43,5
560,HL,50,1,166.51,3.13,5
727,CJD,50,0,1000000,1000000,7
726,LGDX,50,0,1000000,1000000,7
