ID,FromNodeID ,ToNodeID,FromNodeName,ToNodeName,Time,Distance,LineN,Section,Direction,Capacity
1,120,122,WJN,HCBZ,237,0.54,1,1,DOWN,240
2,122,125,HCBZ,LMS,258,0.6,1,2,DOWN,240
3,125,126,LMS,TFGC,80,0.18,1,3,DOWN,240
4,126,132,TFGC,HCNZ,466,1.02,1,4,DOWN,240
5,132,141,HCNZ,SH,808,1.76,1,5,DOWN,240
6,141,143,SH,WGS,200,0.42,1,6,DOWN,240
7,141,154,SH,KXC,1147,2.45,1,7,DOWN,240
8,122,120,HCBZ,WJN,237,0.54,1,1,UP,240
9,125,122,LMS,HCBZ,258,0.6,1,2,UP,240
10,126,125,TFGC,LMS,80,0.18,1,3,UP,240
11,132,126,HCNZ,TFGC,466,1.02,1,4,UP,240
12,141,132,SH,HCNZ,808,1.76,1,5,UP,240
13,143,141,WGS,SH,200,0.42,1,6,UP,240
14,154,141,KXC,SH,1147,2.45,1,7,UP,240
15,221,229,XP,YPTX,825,1.96,2,8,UP,240
16,229,232,YPTX,ZYDSYY,293,0.64,2,9,UP,240
17,232,126,ZYDSYY,TFGC,240,0.47,2,10,UP,240
18,126,242,TFGC,CDDKZ,635,1.42,2,11,UP,240
19,242,252,CDDKZ,LQY,1119,2.78,2,12,UP,240
20,229,221,YPTX,XP,825,1.96,2,8,DOWN,240
21,232,229,ZYDSYY,YPTX,293,0.64,2,9,DOWN,240
22,126,232,TFGC,ZYDSYY,240,0.47,2,10,DOWN,240
23,242,126,CDDKZ,TFGC,635,1.42,2,11,DOWN,240
24,252,242,LQY,CDDKZ,1119,2.78,2,12,DOWN,240
25,413,426,WS,WHG,1395,3.63,4,13,UP,240
26,426,232,WHG,ZYD,236,0.53,4,14,UP,240
27,232,125,ZYD,LMS,182,0.44,4,15,UP,240
28,125,437,LMS,HSD,573,1.4,4,16,UP,240
29,437,442,HSD,XHZ,524,1.38,4,17,UP,240
30,426,413,WHG,WS,1395,3.63,4,13,DOWN,240
31,232,426,ZYD,WHG,236,0.53,4,14,DOWN,240
32,125,232,LMS,ZYD,182,0.44,4,15,DOWN,240
33,437,125,HSD,LMS,573,1.4,4,16,DOWN,240
34,442,437,XHZ,HSD,524,1.38,4,17,DOWN,240
35,520,536,HGL,BZXEL,1454,3.02,5,18,DOWN,320
36,536,232,BZXEL,ZYDSYY,389,0.82,5,19,DOWN,320
37,232,546,ZYDSYY,SXS,574,1.2,5,20,DOWN,320
38,546,560,SXS,HL,1499,3.36,5,21,DOWN,320
39,536,520,BZXEL,HGL,1454,3.02,5,18,UP,320
40,232,536,ZYDSYY,BZXEL,389,0.82,5,19,UP,320
41,546,232,SXS,ZYDSYY,574,1.2,5,20,UP,320
42,560,546,HL,SXS,1499,3.36,5,21,UP,320
43,727,437,CJD,HSD,153,0.32,7,22,UP,240
44,437,242,HSD,DK,179,0.4,7,23,UP,240
45,242,132,DK,HCNZ,599,1.46,7,24,UP,240
46,132,546,HCNZ,SXS,120,0.33,7,25,UP,240
47,546,426,SXS,WHG,601,1.5,7,26,UP,240
48,426,229,WHG,YP,176,0.4,7,27,UP,240
49,229,536,YP,BZXEL,396,0.84,7,28,UP,240
50,536,122,BZXEL,HCB,69,0.13,7,29,UP,240
51,122,726,HCB,LGDX,503,1.17,7,30,UP,240
52,437,727,HSD,CJD,153,0.32,7,22,DOWN,240
53,242,437,DK,HSD,179,0.4,7,23,DOWN,240
54,132,242,HCNZ,DK,599,1.46,7,24,DOWN,240
55,546,132,SXS,HCNZ,120,0.33,7,25,DOWN,240
56,426,546,WHG,SXS,601,1.5,7,26,DOWN,240
57,229,426,YP,WHG,176,0.4,7,27,DOWN,240
58,536,229,BZXEL,YP,396,0.84,7,28,DOWN,240
59,122,536,HCB,BZXEL,69,0.13,7,29,DOWN,240
60,726,122,LGDX,HCB,503,1.17,7,30,DOWN,240
