ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,151.91,2.84,1
122,HCBZ,50,1,131.86,2.44,1
125,LMS,50,1,161.76,3.04,1
126,TFGC,50,0,1000000,1000000,1
132,HCNZ,50,1,101.56,1.83,1
141,SH,50,1,106.27,1.93,1
143,WGS,50,1,138.27,2.57,1
154,KXC,50,0,1000000,1000000,1
221,XP,50,1,109.55,1.99,2
229,YPTX,50,1,153.69,2.87,2
232,ZYDSYY,50,1,198.7,3.77,2
242,CDDKZ,50,0,1000000,1000000,2
252,LQY,50,1,194.29,3.69,2
413,WS,50,1,167.14,3.14,4
426,WHG,50,1,188.71,3.57,4
437,HSD,50,0,1000000,1000000,4
442,XHZ,50,1,189.92,3.6,4
520,HGL,50,0,1000000,1000000,5
536,BZXEL,50,0,1000000,1000000,5
546,SXS,50,0,1000000,1000000,5
560,HL,50,0,1000000,1000000,5
727,CJD,50,1,157.68,2.95,7
726,LGDX,50,1,132.5,2.45,7
