ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,106.22,1.92,1
122,HCBZ,50,1,119.6,2.19,1
125,LMS,50,1,157.15,2.94,1
126,TFGC,50,1,158.39,2.97,1
132,HCNZ,50,0,1000000,1000000,1
141,SH,50,1,161.66,3.03,1
143,WGS,50,0,1000000,1000000,1
154,KXC,50,1,103.42,1.87,1
221,XP,50,1,168.11,3.16,2
229,YPTX,50,1,131.27,2.43,2
232,ZYDSYY,50,1,187.22,3.54,2
242,CDDKZ,50,1,154.68,2.89,2
252,LQY,50,0,1000000,1000000,2
413,WS,50,1,131.35,2.43,4
426,WHG,50,1,132.05,2.44,4
437,HSD,50,1,193.7,3.67,4
442,XHZ,50,1,112.94,2.06,4
520,HGL,50,1,109.95,2,5
536,BZXEL,50,1,150.41,2.81,5
546,SXS,50,1,137.64,2.55,5
560,HL,50,1,173.74,3.27,5
727,CJD,50,1,193.46,3.67,7
726,LGDX,50,1,125.95,2.32,7
