ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,1,115.67,2.11,1,
122,HCBZ,50,1,137.5,2.55,1,
125,LMS,50,1,124.41,2.29,1,
126,TFGC,50,1,178.79,3.38,1,
129,STYG,50,1,189.91,3.6,1,
132,HCNZ,50,1,168.5,3.17,1,
135,FHY,50,1,135.52,2.51,1,
141,SH,50,1,136.67,2.53,1,
143,WGS,50,1,190.43,3.61,1,
154,KXC,50,1,168.51,3.17,1,
221,XP,50,1,164.1,3.08,2,
229,YPTX,50,1,165.65,3.11,2,
232,ZYDSYY,50,1,122.6,2.25,2,
236,CXL,50,1,193.44,3.67,2,
242,CDDKZ,50,1,128.78,2.38,2,
252,LQY,50,1,121.85,2.24,2,
348,SLXZ,50,1,163.52,3.07,3,
340,WQNL,50,1,111.22,2.02,3,
337,TPY,50,1,181.43,3.43,3,
335,GSQ,50,1,170.7,3.21,3,
329,SEYY,50,1,118.49,2.17,3,
325,SMQ,50,1,177.23,3.34,3,
312,CDYXY,50,1,197.45,3.75,3,
413,WS,50,1,153.42,2.87,4,
424,CDXZ,50,1,144.43,2.69,4,
426,WHG,50,1,171.47,3.23,4,
437,HSD,50,1,130.46,2.41,4,
442,XHZ,50,1,129.78,2.4,4,
520,HGL,50,1,175.43,3.31,5,
536,BZXEL,50,1,196.77,3.74,5,
546,SXS,50,1,181.28,3.43,5,
550,JCDD,50,1,160.59,3.01,5,
560,HL,50,1,126.83,2.34,5,
610,WCC,50,1,140.15,2.6,6,
612,XNJD,50,1,103.46,1.87,6,
613,XBQ,50,1,134.98,2.5,6,
614,RMBL,50,1,171.04,3.22,6,
615,QFL,50,1,142.04,2.64,6,
616,YSL,50,1,167.98,3.16,6,
617,NWM,50,0,1000000,1000000,6,
618,DG,50,1,177.86,3.36,6,
619,LLC,50,1,193.28,3.67,6,
621,XBC,50,1,179.45,3.39,6,
623,LJG,50,1,173.61,3.27,6,
727,CJD,50,1,193.21,3.66,7,
726,LGDX,50,1,148.34,2.77,7,
810,SLD,50,1,155.18,2.9,8,
812,SQL,50,1,119.71,2.19,8,
813,DDL,50,1,135.55,2.51,8,
815,NJQ,50,0,1000000,1000000,8,
816,JXDD,50,1,123.96,2.28,8,
817,GPDD,50,1,187.89,3.56,8,
818,SY,50,0,1000000,1000000,8,
819,LH,50,1,199.09,3.78,8,
901,JRCD,50,1,132.64,2.45,9,
907,HX,50,1,101.11,1.82,9,
913,HTB,50,1,104.56,1.89,9,
1036,XP,50,1,190.86,3.62,10,
