ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,115.66,2.11,1
122,HCBZ,50,1,196.83,3.74,1
125,LMS,50,1,110.49,2.01,1
126,TFGC,50,1,108.5,1.97,1
129,STYG,50,1,175.06,3.3,1
132,HCNZ,50,0,1000000,1000000,1
141,SH,50,0,1000000,1000000,1
143,WGS,50,0,1000000,1000000,1
154,KXC,50,1,143.37,2.67,1
221,XP,50,1,100.78,1.82,2
229,YPTX,50,1,136.18,2.52,2
232,ZYDSYY,50,0,1000000,1000000,2
236,CXL,50,1,180.35,3.41,2
242,CDDKZ,50,0,1000000,1000000,2
252,LQY,50,1,155.03,2.9,2
348,SLXZ,50,1,109.09,1.98,3
337,TPY,50,1,151.01,2.82,3
335,GSQ,50,0,1000000,1000000,3
329,SEYY,50,1,173.74,3.27,3
325,SMQ,50,1,141.7,2.63,3
312,CDYXY,50,1,189.96,3.6,3
413,WS,50,1,160.91,3.02,4
426,WHG,50,1,115.27,2.11,4
437,HSD,50,1,195.52,3.71,4
442,XHZ,50,1,134.67,2.49,4
520,HGL,50,1,113.39,2.07,5
536,BZXEL,50,1,125.86,2.32,5
546,SXS,50,1,172.13,3.24,5
560,HL,50,1,100.89,1.82,5
727,CJD,50,1,180.44,3.41,7
726,LGDX,50,1,187.39,3.55,7
