ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,0,1000000,1000000,1,
122,HCBZ,50,0,1000000,1000000,1,
125,LMS,50,0,1000000,1000000,1,
126,TFGC,50,1,155.51,2.91,1,
129,STYG,50,1,152.85,2.86,1,
132,HCNZ,50,1,193.33,3.67,1,
135,FHY,50,0,1000000,1000000,1,
141,SH,50,1,146.81,2.74,1,
143,WGS,50,1,154.1,2.88,1,
154,KXC,50,0,1000000,1000000,1,
221,XP,50,0,1000000,1000000,2,
229,YPTX,50,1,195.83,3.72,2,
232,ZYDSYY,50,1,109.86,2,2,
236,CXL,50,1,110.07,2,2,
242,CDDKZ,50,1,151.58,2.83,2,
252,LQY,50,1,190.87,3.62,2,
348,SLXZ,50,0,1000000,1000000,3,
340,WQNL,50,1,199.07,3.78,3,
337,TPY,50,0,1000000,1000000,3,
335,GSQ,50,0,1000000,1000000,3,
329,SEYY,50,0,1000000,1000000,3,
325,SMQ,50,0,1000000,1000000,3,
312,CDYXY,50,0,1000000,1000000,3,
413,WS,50,1,181.47,3.43,4,
424,CDXZ,50,0,1000000,1000000,4,
426,WHG,50,0,1000000,1000000,4,
437,HSD,50,0,1000000,1000000,4,
442,XHZ,50,0,1000000,1000000,4,
520,HGL,50,0,1000000,1000000,5,
536,BZXEL,50,0,1000000,1000000,5,
546,SXS,50,0,1000000,1000000,5,
550,JCDD,50,1,179,3.38,5,
560,HL,50,1,163.94,3.08,5,
610,WCC,50,0,1000000,1000000,6,
612,XNJD,50,1,105.21,1.9,6,
613,XBQ,50,1,185.41,3.51,6,
614,RMBL,50,0,1000000,1000000,6,
615,QFL,50,0,1000000,1000000,6,
616,YSL,50,0,1000000,1000000,6,
617,NWM,50,1,119.89,2.2,6,
618,DG,50,1,139.44,2.59,6,
619,LLC,50,0,1000000,1000000,6,
621,XBC,50,1,116.82,2.14,6,
623,LJG,50,1,103.42,1.87,6,
727,CJD,50,0,1000000,1000000,7,
726,LGDX,50,0,1000000,1000000,7,
810,SLD,50,0,1000000,1000000,8,
812,SQL,50,0,1000000,1000000,8,
813,DDL,50,1,143.72,2.67,8,
815,NJQ,50,1,159.52,2.99,8,
816,JXDD,50,1,198.41,3.77,8,
817,GPDD,50,0,1000000,1000000,8,
818,SY,50,0,1000000,1000000,8,
819,LH,50,0,1000000,1000000,8,
901,JRCD,50,1,165.03,3.1,9,
907,HX,50,0,1000000,1000000,9,
913,HTB,50,0,1000000,1000000,9,
1036,XP,50,1,197.34,3.75,10,
