ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,1,180.42,3.41,1,
122,HCBZ,50,1,109.94,2,1,
125,LMS,50,1,130.69,2.41,1,
126,TFGC,50,1,156.66,2.93,1,
129,STYG,50,1,180.82,3.42,1,
132,HCNZ,50,1,100.05,1.8,1,
135,FHY,50,1,196.75,3.73,1,
141,SH,50,0,1000000,1000000,1,
143,WGS,50,0,1000000,1000000,1,
154,KXC,50,1,165.07,3.1,1,
221,XP,50,0,1000000,1000000,2,
229,YPTX,50,1,135.12,2.5,2,
232,ZYDSYY,50,1,109.17,1.98,2,
236,CXL,50,1,103.5,1.87,2,
242,CDDKZ,50,1,113.29,2.07,2,
252,LQY,50,1,150.87,2.82,2,
348,SLXZ,50,1,160.71,3.01,3,
340,WQNL,50,1,158.51,2.97,3,
337,TPY,50,1,103.78,1.88,3,
335,GSQ,50,1,110.84,2.02,3,
329,SEYY,50,0,1000000,1000000,3,
325,SMQ,50,1,192.69,3.65,3,
312,CDYXY,50,1,190.74,3.61,3,
413,WS,50,1,146.64,2.73,4,
424,CDXZ,50,1,176.51,3.33,4,
426,WHG,50,1,118.53,2.17,4,
437,HSD,50,1,108.51,1.97,4,
442,XHZ,50,1,182.16,3.44,4,
520,HGL,50,1,100.01,1.8,5,
536,BZXEL,50,1,136.37,2.53,5,
546,SXS,50,1,148.18,2.76,5,
550,JCDD,50,1,184.66,3.49,5,
560,HL,50,1,129.53,2.39,5,
610,WCC,50,1,107.71,1.95,6,
612,XNJD,50,0,1000000,1000000,6,
613,XBQ,50,1,147.02,2.74,6,
614,RMBL,50,1,179.16,3.38,6,
615,QFL,50,1,110.02,2,6,
616,YSL,50,1,148.41,2.77,6,
617,NWM,50,1,184.16,3.48,6,
618,DG,50,0,1000000,1000000,6,
619,LLC,50,1,156.79,2.94,6,
621,XBC,50,1,172.84,3.26,6,
623,LJG,50,1,164.94,3.1,6,
727,CJD,50,1,166.06,3.12,7,
726,LGDX,50,0,1000000,1000000,7,
810,SLD,50,1,183.67,3.47,8,
812,SQL,50,1,125.86,2.32,8,
813,DDL,50,1,166.28,3.13,8,
815,NJQ,50,1,114.18,2.08,8,
816,JXDD,50,1,177.26,3.35,8,
817,GPDD,50,1,184.07,3.48,8,
818,SY,50,0,1000000,1000000,8,
819,LH,50,1,123.31,2.27,8,
901,JRCD,50,1,135.62,2.51,9,
907,HX,50,1,108.55,1.97,9,
913,HTB,50,1,199.68,3.79,9,
1036,XP,50,1,101.86,1.84,10,
