ID,FromNodeID ,ToNodeID,FromNodeName,ToNodeName,Time,Distance,LineN,Section,Direction,Capacity
1,120,122,WJN,HCBZ,237,0.54,1,1,DOWN,240
2,122,125,HCBZ,LMS,258,0.6,1,2,DOWN,240
3,125,126,LMS,TFGC,80,0.18,1,3,DOWN,240
4,126,129,TFGC,STYG,221,0.47,1,4,DOWN,240
5,129,132,STYG,HCNZ,245,0.55,1,5,DOWN,240
6,132,141,HCNZ,SH,808,1.76,1,6,DOWN,240
7,141,143,SH,WGS,200,0.42,1,7,DOWN,240
8,141,154,SH,KXC,1147,2.45,1,8,DOWN,240
9,122,120,HCBZ,WJN,237,0.54,1,1,UP,240
10,125,122,LMS,HCBZ,258,0.6,1,2,UP,240
11,126,125,TFGC,LMS,80,0.18,1,3,UP,240
12,129,126,STYG,TFGC,221,0.47,1,4,UP,240
13,132,129,HCNZ,STYG,245,0.55,1,5,UP,240
14,141,132,SH,HCNZ,808,1.76,1,6,UP,240
15,143,141,WGS,SH,200,0.42,1,7,UP,240
16,154,141,KXC,SH,1147,2.45,1,8,UP,240
17,221,229,XP,YPTX,825,1.96,2,9,UP,240
18,229,232,YPTX,ZYDSYY,293,0.64,2,10,UP,240
19,232,126,ZYDSYY,TFGC,240,0.47,2,11,UP,240
20,126,236,TFGC,CXL,109,0.25,2,12,UP,240
21,236,242,CXL,CDDKZ,526,1.17,2,13,UP,240
22,242,252,CDDKZ,LQY,1119,2.78,2,14,UP,240
23,229,221,YPTX,XP,825,1.96,2,9,DOWN,240
24,232,229,ZYDSYY,YPTX,293,0.64,2,10,DOWN,240
25,126,232,TFGC,ZYDSYY,240,0.47,2,11,DOWN,240
26,236,126,CXL,TFGC,109,0.25,2,12,DOWN,240
27,242,236,CDDKZ,CXL,526,1.17,2,13,DOWN,240
28,252,242,LQY,CDDKZ,1119,2.78,2,14,DOWN,240
29,348,337,SLXZ,TPY,1178,3.06,3,15,UP,240
30,337,335,TPY,GSQ,200,0.5,3,16,UP,240
31,335,129,GSQ,STYG,173,0.43,3,17,UP,240
32,129,236,STYG,CXL,245,0.56,3,18,UP,240
33,236,329,CXL,EYY,73,0.15,3,19,UP,240
34,329,325,EYY,SMQ,322,0.73,3,20,UP,240
35,325,312,SMQ,CDYXY,1244,3.21,3,21,UP,240
36,337,348,TPY,SLXZ,1178,3.06,3,15,DOWN,240
37,335,337,GSQ,TPY,200,0.5,3,16,DOWN,240
38,129,335,STYG,GSQ,173,0.43,3,17,DOWN,240
39,236,129,CXL,STYG,245,0.56,3,18,DOWN,240
40,329,236,EYY,CXL,73,0.15,3,19,DOWN,240
41,325,329,SMQ,EYY,322,0.73,3,20,DOWN,240
42,312,325,CDYXY,SMQ,1244,3.21,3,21,DOWN,240
43,413,426,WS,WHG,1395,3.63,4,22,UP,240
44,426,232,WHG,ZYD,236,0.53,4,23,UP,240
45,232,125,ZYD,LMS,182,0.44,4,24,UP,240
46,125,329,LMS,SEYY,156,0.34,4,25,UP,240
47,329,437,SEYY,HSD,417,1.06,4,26,UP,240
48,437,442,HSD,XHZ,524,1.38,4,27,UP,240
49,426,413,WHG,WS,1395,3.63,4,22,DOWN,240
50,232,426,ZYD,WHG,236,0.53,4,23,DOWN,240
51,125,232,LMS,ZYD,182,0.44,4,24,DOWN,240
52,329,125,SEYY,LMS,156,0.34,4,25,DOWN,240
53,437,329,HSD,SEYY,417,1.06,4,26,DOWN,240
54,442,437,XHZ,HSD,524,1.38,4,27,DOWN,240
55,520,536,HGL,BZXEL,1454,3.02,5,28,DOWN,320
56,536,232,BZXEL,ZYDSYY,389,0.82,5,29,DOWN,320
57,232,335,ZYDSYY,GSQ,259,0.51,5,30,DOWN,320
58,335,546,GSQ,SXS,315,0.69,5,31,DOWN,320
59,546,560,SXS,HL,1499,3.36,5,32,DOWN,320
60,536,520,BZXEL,HGL,1454,3.02,5,28,UP,320
61,232,536,ZYDSYY,BZXEL,389,0.82,5,29,UP,320
62,335,232,GSQ,ZYDSYY,259,0.51,5,30,UP,320
63,546,335,SXS,GSQ,315,0.69,5,31,UP,320
64,560,546,HL,SXS,1499,3.36,5,32,UP,320
65,727,437,CJD,HSD,153,0.32,7,33,UP,240
66,437,242,HSD,DK,179,0.4,7,34,UP,240
67,242,132,DK,HCNZ,599,1.46,7,35,UP,240
68,132,546,HCNZ,SXS,120,0.33,7,36,UP,240
69,546,337,SXS,TPY,215,0.55,7,37,UP,240
70,337,426,TPY,WHG,386,0.95,7,38,UP,240
71,426,229,WHG,YP,176,0.4,7,39,UP,240
72,229,536,YP,BZXEL,396,0.84,7,40,UP,240
73,536,122,BZXEL,HCB,69,0.13,7,41,UP,240
74,122,325,HCB,SMQ,150,0.35,7,42,UP,240
75,325,726,SMQ,LGDX,353,0.82,7,43,UP,240
76,437,727,HSD,CJD,153,0.32,7,33,DOWN,240
77,242,437,DK,HSD,179,0.4,7,34,DOWN,240
78,132,242,HCNZ,DK,599,1.46,7,35,DOWN,240
79,546,132,SXS,HCNZ,120,0.33,7,36,DOWN,240
80,337,546,TPY,SXS,215,0.55,7,37,DOWN,240
81,426,337,WHG,TPY,386,0.95,7,38,DOWN,240
82,229,426,YP,WHG,176,0.4,7,39,DOWN,240
83,536,229,BZXEL,YP,396,0.84,7,40,DOWN,240
84,122,536,HCB,BZXEL,69,0.13,7,41,DOWN,240
85,325,122,SMQ,HCB,150,0.35,7,42,DOWN,240
86,726,325,LGDX,SMQ,353,0.82,7,43,DOWN,240
