ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,1,150.04,2.8,1,
122,HCBZ,50,1,145.83,2.72,1,
125,LMS,50,1,103.09,1.86,1,
126,TFGC,50,1,170.43,3.21,1,
129,STYG,50,1,185.21,3.5,1,
132,HCNZ,50,1,115.73,2.11,1,
135,FHY,50,1,194.39,3.69,1,
141,SH,50,1,153.94,2.88,1,
143,WGS,50,1,109.65,1.99,1,
154,KXC,50,1,181.88,3.44,1,
221,XP,50,1,191.02,3.62,2,
229,YPTX,50,1,189.67,3.59,2,
232,ZYDSYY,50,0,1000000,1000000,2,
236,CXL,50,1,152.32,2.85,2,
242,CDDKZ,50,1,170.29,3.21,2,
252,LQY,50,0,1000000,1000000,2,
348,SLXZ,50,1,104.72,1.89,3,
340,WQNL,50,1,175.89,3.32,3,
337,TPY,50,1,184.32,3.49,3,
335,GSQ,50,1,149.67,2.79,3,
329,SEYY,50,1,165.13,3.1,3,
325,SMQ,50,1,117.47,2.15,3,
312,CDYXY,50,1,137.25,2.54,3,
413,WS,50,0,1000000,1000000,4,
424,CDXZ,50,1,173.4,3.27,4,
426,WHG,50,1,192.63,3.65,4,
437,HSD,50,0,1000000,1000000,4,
442,XHZ,50,1,121.7,2.23,4,
520,HGL,50,1,195.27,3.71,5,
536,BZXEL,50,1,182,3.44,5,
546,SXS,50,1,185.89,3.52,5,
550,JCDD,50,1,154.89,2.9,5,
560,HL,50,1,100.88,1.82,5,
610,WCC,50,1,133.63,2.47,6,
612,XNJD,50,1,174.83,3.3,6,
613,XBQ,50,1,125.88,2.32,6,
614,RMBL,50,1,168.9,3.18,6,
615,QFL,50,1,140.88,2.62,6,
616,YSL,50,1,177.18,3.34,6,
617,NWM,50,1,101.03,1.82,6,
618,DG,50,1,161.97,3.04,6,
619,LLC,50,0,1000000,1000000,6,
621,XBC,50,1,111.9,2.04,6,
623,LJG,50,1,112.74,2.05,6,
727,CJD,50,1,196.98,3.74,7,
726,LGDX,50,1,160.47,3.01,7,
810,SLD,50,0,1000000,1000000,8,
812,SQL,50,1,158.36,2.97,8,
813,DDL,50,1,184.43,3.49,8,
815,NJQ,50,1,158.38,2.97,8,
816,JXDD,50,1,187.59,3.55,8,
817,GPDD,50,0,1000000,1000000,8,
818,SY,50,1,141.65,2.63,8,
819,LH,50,0,1000000,1000000,8,
901,JRCD,50,1,194.84,3.7,9,
907,HX,50,1,194.95,3.7,9,
913,HTB,50,1,136.93,2.54,9,
1036,XP,50,1,140.86,2.62,10,
