ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,0,1000000,1000000,1
122,HCBZ,50,1,164.35,3.09,1
125,LMS,50,0,1000000,1000000,1
126,TFGC,50,1,129,2.38,1
129,STYG,50,0,1000000,1000000,1
132,HCNZ,50,1,161.13,3.02,1
135,FHY,50,0,1000000,1000000,1
141,SH,50,1,180.84,3.42,1
143,WGS,50,0,1000000,1000000,1
154,KXC,50,1,187.69,3.55,1
221,XP,50,0,1000000,1000000,2
229,YPTX,50,1,109.82,2,2
232,ZYDSYY,50,0,1000000,1000000,2
236,CXL,50,1,133.84,2.48,2
242,CDDKZ,50,0,1000000,1000000,2
252,LQY,50,1,120.57,2.21,2
348,SLXZ,50,0,1000000,1000000,3
340,WQNL,50,1,142.26,2.65,3
337,TPY,50,0,1000000,1000000,3
335,GSQ,50,1,139.39,2.59,3
329,SEYY,50,0,1000000,1000000,3
325,SMQ,50,1,197.75,3.75,3
312,CDYXY,50,0,1000000,1000000,3
413,WS,50,1,144.38,2.69,4
424,CDXZ,50,0,1000000,1000000,4
426,WHG,50,1,132.82,2.46,4
437,HSD,50,0,1000000,1000000,4
442,XHZ,50,1,122.63,2.25,4
520,HGL,50,0,1000000,1000000,5
536,BZXEL,50,1,104.38,1.89,5
546,SXS,50,0,1000000,1000000,5
550,JCDD,50,1,183.25,3.47,5
560,HL,50,0,1000000,1000000,5
727,CJD,50,1,162.59,3.05,7
726,LGDX,50,0,1000000,1000000,7
901,JRCD,50,0,1000000,1000000,9
907,HX,50,1,195.39,3.71,9
913,HTB,50,1,130.33,2.41,9
1036,XP,50,1,161.51,3.03,10
