ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,163.81,3.08,1
122,HCBZ,50,1,133.44,2.47,1
125,LMS,50,1,150.05,2.8,1
126,TFGC,50,1,134.21,2.48,1
132,HCNZ,50,1,112.41,2.05,1
141,SH,50,1,167.72,3.15,1
143,WGS,50,1,199.58,3.79,1
154,KXC,50,1,177.34,3.35,1
221,XP,50,1,112.93,2.06,2
229,YPTX,50,1,199.67,3.79,2
232,ZYDSYY,50,1,135.6,2.51,2
242,CDDKZ,50,1,164.78,3.1,2
252,LQY,50,1,170.84,3.22,2
413,WS,50,1,179.37,3.39,4
426,WHG,50,1,101.29,1.83,4
437,HSD,50,1,113.12,2.06,4
442,XHZ,50,1,151.69,2.83,4
520,HGL,50,1,150.21,2.8,5
536,BZXEL,50,1,161.87,3.04,5
546,SXS,50,1,125.13,2.3,5
560,HL,50,0,1000000,1000000,5
727,CJD,50,0,1000000,1000000,7
726,LGDX,50,0,1000000,1000000,7
