ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,1,188.35,3.57,1,
122,HCBZ,50,0,1000000,1000000,1,
125,LMS,50,1,146.83,2.74,1,
126,TFGC,50,0,1000000,1000000,1,
129,STYG,50,1,110.27,2.01,1,
132,HCNZ,50,1,170.9,3.22,1,
135,FHY,50,1,116.41,2.13,1,
141,SH,50,0,1000000,1000000,1,
143,WGS,50,1,117.71,2.15,1,
154,KXC,50,0,1000000,1000000,1,
221,XP,50,1,119.2,2.18,2,
229,YPTX,50,1,116.56,2.13,2,
232,ZYDSYY,50,1,126.17,2.32,2,
236,CXL,50,1,173.29,3.27,2,
242,CDDKZ,50,1,106.83,1.94,2,
252,LQY,50,0,1000000,1000000,2,
348,SLXZ,50,1,182.38,3.45,3,
340,WQNL,50,1,165.6,3.11,3,
337,TPY,50,1,166.53,3.13,3,
335,GSQ,50,1,112.22,2.04,3,
329,SEYY,50,1,160.92,3.02,3,
325,SMQ,50,1,129.54,2.39,3,
312,CDYXY,50,1,187.38,3.55,3,
413,WS,50,1,129.96,2.4,4,
424,CDXZ,50,1,190.84,3.62,4,
426,WHG,50,1,115.38,2.11,4,
437,HSD,50,0,1000000,1000000,4,
442,XHZ,50,1,126.06,2.32,4,
520,HGL,50,0,1000000,1000000,5,
536,BZXEL,50,1,163.87,3.08,5,
546,SXS,50,1,168.34,3.17,5,
550,JCDD,50,1,117.35,2.15,5,
560,HL,50,1,119.18,2.18,5,
610,WCC,50,0,1000000,1000000,6,
612,XNJD,50,1,143.32,2.67,6,
613,XBQ,50,0,1000000,1000000,6,
614,RMBL,50,0,1000000,1000000,6,
615,QFL,50,1,170.64,3.21,6,
616,YSL,50,1,164.46,3.09,6,
617,NWM,50,1,185.31,3.51,6,
618,DG,50,0,1000000,1000000,6,
619,LLC,50,1,132,2.44,6,
621,XBC,50,1,158.36,2.97,6,
623,LJG,50,1,132.87,2.46,6,
727,CJD,50,1,176.16,3.32,7,
726,LGDX,50,1,105.79,1.92,7,
810,SLD,50,1,157.89,2.96,8,
812,SQL,50,1,199.3,3.79,8,
813,DDL,50,1,199.25,3.79,8,
815,NJQ,50,0,1000000,1000000,8,
816,JXDD,50,1,145.7,2.71,8,
817,GPDD,50,1,173.8,3.28,8,
818,SY,50,1,119.4,2.19,8,
819,LH,50,1,107.21,1.94,8,
901,JRCD,50,1,159.91,3,9,
907,HX,50,1,163.71,3.07,9,
913,HTB,50,0,1000000,1000000,9,
1036,XP,50,1,168.69,3.17,10,
