ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,0,1000000,1000000,1,
122,HCBZ,50,1,165.22,3.1,1,
125,LMS,50,1,173.04,3.26,1,
126,TFGC,50,1,113.12,2.06,1,
129,STYG,50,1,182.51,3.45,1,
132,HCNZ,50,1,193.96,3.68,1,
135,FHY,50,0,1000000,1000000,1,
141,SH,50,0,1000000,1000000,1,
143,WGS,50,1,143.11,2.66,1,
154,KXC,50,0,1000000,1000000,1,
221,XP,50,0,1000000,1000000,2,
229,YPTX,50,0,1000000,1000000,2,
232,ZYDSYY,50,1,197.5,3.75,2,
236,CXL,50,0,1000000,1000000,2,
242,CDDKZ,50,0,1000000,1000000,2,
252,LQY,50,1,166.05,3.12,2,
348,SLXZ,50,1,155.34,2.91,3,
340,WQNL,50,0,1000000,1000000,3,
337,TPY,50,1,119.18,2.18,3,
335,GSQ,50,1,188.18,3.56,3,
329,SEYY,50,0,1000000,1000000,3,
325,SMQ,50,1,174.56,3.29,3,
312,CDYXY,50,1,173.37,3.27,3,
413,WS,50,1,138.77,2.58,4,
424,CDXZ,50,1,191.59,3.63,4,
426,WHG,50,1,147.45,2.75,4,
437,HSD,50,1,172.15,3.24,4,
442,XHZ,50,1,143.98,2.68,4,
520,HGL,50,0,1000000,1000000,5,
536,BZXEL,50,0,1000000,1000000,5,
546,SXS,50,0,1000000,1000000,5,
550,JCDD,50,0,1000000,1000000,5,
560,HL,50,1,133.73,2.47,5,
727,CJD,50,1,104.41,1.89,7,
726,LGDX,50,1,155.76,2.92,7,
810,SLD,50,0,1000000,1000000,8,
812,SQL,50,0,1000000,1000000,8,
813,DDL,50,0,1000000,1000000,8,
815,NJQ,50,0,1000000,1000000,8,
816,JXDD,50,0,1000000,1000000,8,
817,GPDD,50,1,166.6,3.13,8,
818,SY,50,1,140.63,2.61,8,
819,LH,50,1,196.35,3.73,8,
901,JRCD,50,1,114.85,2.1,9,
907,HX,50,0,1000000,1000000,9,
913,HTB,50,0,1000000,1000000,9,
1036,XP,50,0,1000000,1000000,10,
