ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,0,1000000,1000000,1
122,HCBZ,50,0,1000000,1000000,1
125,LMS,50,1,109.54,3.66,1
126,TFGC,50,0,1000000,1000000,1
129,STYG,50,0,1000000,1000000,1
132,HCNZ,50,0,1000000,1000000,1
135,FHY,50,1,131.91,3.24,1
141,SH,50,0,1000000,1000000,1
143,WGS,50,0,1000000,1000000,1
154,KXC,50,0,1000000,1000000,1
221,XP,50,0,1000000,1000000,2
229,YPTX,50,0,1000000,1000000,2
232,ZYDSYY,50,1,103.97,2.85,2
236,CXL,50,0,1000000,1000000,2
242,CDDKZ,50,1,116.14,2.53,2
252,LQY,50,0,1000000,1000000,2
348,SLXZ,50,1,180.29,2.95,3
340,WQNL,50,1,171.09,3.44,3
337,TPY,50,1,128.06,1.8,3
335,GSQ,50,0,1000000,1000000,3
329,SEYY,50,0,1000000,1000000,3
325,SMQ,50,0,1000000,1000000,3
312,CDYXY,50,0,1000000,1000000,3
413,WS,50,1,120.11,3.25,4
424,CDXZ,50,0,1000000,1000000,4
426,WHG,50,0,1000000,1000000,4
437,HSD,50,1,106.77,3.65,4
442,XHZ,50,0,1000000,1000000,4
520,HGL,50,0,1000000,1000000,5
536,BZXEL,50,0,1000000,1000000,5
546,SXS,50,1,134.06,3.54,5
550,JCDD,50,0,1000000,1000000,5
560,HL,50,1,115.79,2.22,5
727,CJD,50,1,111.78,3.46,7
726,LGDX,50,0,1000000,1000000,7
901,JRCD,50,0,1000000,1000000,9
907,HX,50,1,106.82,2.56,9
913,HTB,50,1,153.71,2.48,9
1036,XP,50,1,187.87,2.56,10
