ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,126.3,2.33,1
122,HCBZ,50,1,184.05,3.48,1
125,LMS,50,1,152.53,2.85,1
126,TFGC,50,1,149.95,2.8,1
129,STYG,50,1,177.83,3.36,1
132,HCNZ,50,1,161.04,3.02,1
141,SH,50,1,123.73,2.27,1
143,WGS,50,1,119.28,2.19,1
154,KXC,50,1,144.87,2.7,1
221,XP,50,1,134.6,2.49,2
229,YPTX,50,1,168.8,3.18,2
232,ZYDSYY,50,1,142.33,2.65,2
236,CXL,50,1,107.58,1.95,2
242,CDDKZ,50,1,176.03,3.32,2
252,LQY,50,1,100.6,1.81,2
348,SLXZ,50,1,139.1,2.58,3
337,TPY,50,1,104.95,1.9,3
335,GSQ,50,1,131.56,2.43,3
329,SEYY,50,1,105.22,1.9,3
325,SMQ,50,1,156.15,2.92,3
312,CDYXY,50,1,125.88,2.32,3
413,WS,50,1,187.47,3.55,4
426,WHG,50,1,151.14,2.82,4
437,HSD,50,1,196.72,3.73,4
442,XHZ,50,0,1000000,1000000,4
520,HGL,50,1,182.97,3.46,5
536,BZXEL,50,1,189.97,3.6,5
546,SXS,50,1,178.12,3.36,5
560,HL,50,1,101.94,1.84,5
727,CJD,50,1,190.26,3.61,7
726,LGDX,50,1,114.15,2.08,7
