ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,0,1000000,1000000,1,
122,HCBZ,50,1,182.92,3.46,1,
125,LMS,50,0,1000000,1000000,1,
126,TFGC,50,0,1000000,1000000,1,
129,STYG,50,0,1000000,1000000,1,
132,HCNZ,50,1,118.77,2.18,1,
135,FHY,50,1,181.4,3.43,1,
141,SH,50,0,1000000,1000000,1,
143,WGS,50,1,128.32,2.37,1,
154,KXC,50,0,1000000,1000000,1,
221,XP,50,0,1000000,1000000,2,
229,YPTX,50,1,130.53,2.41,2,
232,ZYDSYY,50,0,1000000,1000000,2,
236,CXL,50,1,172.57,3.25,2,
242,CDDKZ,50,0,1000000,1000000,2,
252,LQY,50,1,113.82,2.08,2,
348,SLXZ,50,0,1000000,1000000,3,
340,WQNL,50,1,194.13,3.68,3,
337,TPY,50,0,1000000,1000000,3,
335,GSQ,50,1,126.46,2.33,3,
329,SEYY,50,1,147.47,2.75,3,
325,SMQ,50,0,1000000,1000000,3,
312,CDYXY,50,0,1000000,1000000,3,
413,WS,50,0,1000000,1000000,4,
424,CDXZ,50,0,1000000,1000000,4,
426,WHG,50,0,1000000,1000000,4,
437,HSD,50,1,134.71,2.49,4,
442,XHZ,50,1,169.83,3.2,4,
520,HGL,50,1,131.69,2.43,5,
536,BZXEL,50,0,1000000,1000000,5,
546,SXS,50,0,1000000,1000000,5,
550,JCDD,50,0,1000000,1000000,5,
560,HL,50,1,178.11,3.36,5,
610,WCC,50,1,197.19,3.74,6,
612,XNJD,50,0,1000000,1000000,6,
613,XBQ,50,0,1000000,1000000,6,
614,RMBL,50,0,1000000,1000000,6,
615,QFL,50,0,1000000,1000000,6,
616,YSL,50,1,122.18,2.24,6,
617,NWM,50,1,112.07,2.04,6,
618,DG,50,1,158.39,2.97,6,
619,LLC,50,1,185.44,3.51,6,
621,XBC,50,0,1000000,1000000,6,
623,LJG,50,0,1000000,1000000,6,
727,CJD,50,1,185.98,3.52,7,
726,LGDX,50,0,1000000,1000000,7,
810,SLD,50,1,138.06,2.56,8,
812,SQL,50,1,131.49,2.43,8,
813,DDL,50,0,1000000,1000000,8,
815,NJQ,50,0,1000000,1000000,8,
816,JXDD,50,0,1000000,1000000,8,
817,GPDD,50,1,107.37,1.95,8,
818,SY,50,0,1000000,1000000,8,
819,LH,50,1,178.53,3.37,8,
901,JRCD,50,1,136.51,2.53,9,
907,HX,50,0,1000000,1000000,9,
913,HTB,50,0,1000000,1000000,9,
1036,XP,50,0,1000000,1000000,10,
