ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,159.02,2.98,1
122,HCBZ,50,0,1000000,1000000,1
125,LMS,50,0,1000000,1000000,1
126,TFGC,50,1,160.8,3.02,1
129,STYG,50,1,138.04,2.56,1
132,HCNZ,50,1,123.96,2.28,1
135,FHY,50,0,1000000,1000000,1
141,SH,50,1,173.07,3.26,1
143,WGS,50,0,1000000,1000000,1
154,KXC,50,1,175.13,3.3,1
221,XP,50,1,163.07,3.06,2
229,YPTX,50,0,1000000,1000000,2
232,ZYDSYY,50,0,1000000,1000000,2
236,CXL,50,0,1000000,1000000,2
242,CDDKZ,50,0,1000000,1000000,2
252,LQY,50,1,119.5,2.19,2
348,SLXZ,50,0,1000000,1000000,3
340,WQNL,50,1,165.17,3.1,3
337,TPY,50,0,1000000,1000000,3
335,GSQ,50,0,1000000,1000000,3
329,SEYY,50,1,197.82,3.76,3
325,SMQ,50,0,1000000,1000000,3
312,CDYXY,50,1,161,3.02,3
413,WS,50,0,1000000,1000000,4
424,CDXZ,50,0,1000000,1000000,4
426,WHG,50,0,1000000,1000000,4
437,HSD,50,0,1000000,1000000,4
442,XHZ,50,1,109.04,1.98,4
520,HGL,50,0,1000000,1000000,5
536,BZXEL,50,1,106.32,1.93,5
546,SXS,50,0,1000000,1000000,5
550,JCDD,50,0,1000000,1000000,5
560,HL,50,1,106.04,1.92,5
727,CJD,50,0,1000000,1000000,7
726,LGDX,50,0,1000000,1000000,7
901,JRCD,50,0,1000000,1000000,9
907,HX,50,0,1000000,1000000,9
913,HTB,50,1,159.73,2.99,9
1036,XP,50,0,1000000,1000000,10
