ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,0,1000000,1000000,1,
122,HCBZ,50,1,131.43,2.43,1,
125,LMS,50,0,1000000,1000000,1,
126,TFGC,50,0,1000000,1000000,1,
129,STYG,50,1,194.63,3.69,1,
132,HCNZ,50,0,1000000,1000000,1,
135,FHY,50,0,1000000,1000000,1,
141,SH,50,1,154.24,2.88,1,
143,WGS,50,1,159.53,2.99,1,
154,KXC,50,0,1000000,1000000,1,
221,XP,50,1,115.92,2.12,2,
229,YPTX,50,1,146.97,2.74,2,
232,ZYDSYY,50,1,158.53,2.97,2,
236,CXL,50,1,156.24,2.92,2,
242,CDDKZ,50,0,1000000,1000000,2,
252,LQY,50,0,1000000,1000000,2,
348,SLXZ,50,1,117.84,2.16,3,
340,WQNL,50,1,192.09,3.64,3,
337,TPY,50,0,1000000,1000000,3,
335,GSQ,50,0,1000000,1000000,3,
329,SEYY,50,1,159.38,2.99,3,
325,SMQ,50,0,1000000,1000000,3,
312,CDYXY,50,0,1000000,1000000,3,
413,WS,50,0,1000000,1000000,4,
424,CDXZ,50,0,1000000,1000000,4,
426,WHG,50,0,1000000,1000000,4,
437,HSD,50,1,149.82,2.8,4,
442,XHZ,50,1,168.35,3.17,4,
520,HGL,50,0,1000000,1000000,5,
536,BZXEL,50,0,1000000,1000000,5,
546,SXS,50,1,100.94,1.82,5,
550,JCDD,50,0,1000000,1000000,5,
560,HL,50,1,172.32,3.25,5,
610,WCC,50,0,1000000,1000000,6,
612,XNJD,50,1,139.01,2.58,6,
613,XBQ,50,1,133.44,2.47,6,
614,RMBL,50,0,1000000,1000000,6,
615,QFL,50,0,1000000,1000000,6,
616,YSL,50,0,1000000,1000000,6,
617,NWM,50,1,157.68,2.95,6,
618,DG,50,1,100.61,1.81,6,
619,LLC,50,0,1000000,1000000,6,
621,XBC,50,0,1000000,1000000,6,
623,LJG,50,0,1000000,1000000,6,
727,CJD,50,1,132.53,2.45,7,
726,LGDX,50,0,1000000,1000000,7,
810,SLD,50,0,1000000,1000000,8,
812,SQL,50,1,183.82,3.48,8,
813,DDL,50,0,1000000,1000000,8,
815,NJQ,50,0,1000000,1000000,8,
816,JXDD,50,1,191.41,3.63,8,
817,GPDD,50,0,1000000,1000000,8,
818,SY,50,0,1000000,1000000,8,
819,LH,50,1,161.17,3.02,8,
901,JRCD,50,1,127.92,2.36,9,
907,HX,50,1,121.97,2.24,9,
913,HTB,50,0,1000000,1000000,9,
1036,XP,50,0,1000000,1000000,10,
