ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,163.31,3.07,1
122,HCBZ,50,1,187.68,3.55,1
125,LMS,50,0,1000000,1000000,1
126,TFGC,50,0,1000000,1000000,1
129,STYG,50,0,1000000,1000000,1
132,HCNZ,50,1,190.55,3.61,1
135,FHY,50,1,130.2,2.4,1
141,SH,50,1,135.25,2.51,1
143,WGS,50,0,1000000,1000000,1
154,KXC,50,1,143.34,2.67,1
221,XP,50,1,100.73,1.81,2
229,YPTX,50,1,137.01,2.54,2
232,ZYDSYY,50,1,125.3,2.31,2
236,CXL,50,1,141.79,2.64,2
242,CDDKZ,50,1,187.63,3.55,2
252,LQY,50,0,1000000,1000000,2
348,SLXZ,50,1,138.19,2.56,3
340,WQNL,50,1,159.28,2.99,3
337,TPY,50,1,108.06,1.96,3
335,GSQ,50,1,183.83,3.48,3
329,SEYY,50,1,142.69,2.65,3
325,SMQ,50,0,1000000,1000000,3
312,CDYXY,50,1,100.72,1.81,3
413,WS,50,1,162.97,3.06,4
424,CDXZ,50,1,136.47,2.53,4
426,WHG,50,0,1000000,1000000,4
437,HSD,50,1,178.44,3.37,4
442,XHZ,50,1,136.05,2.52,4
520,HGL,50,1,183.44,3.47,5
536,BZXEL,50,0,1000000,1000000,5
546,SXS,50,1,170.2,3.2,5
550,JCDD,50,1,142.72,2.65,5
560,HL,50,1,101.91,1.84,5
727,CJD,50,1,123.09,2.26,7
726,LGDX,50,1,107.56,1.95,7
901,JRCD,50,1,174.84,3.3,9
907,HX,50,0,1000000,1000000,9
913,HTB,50,1,186.77,3.54,9
1036,XP,50,1,136.98,2.54,10
