ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,0,1000000,1000000,1
122,HCBZ,50,1,132.13,2.44,1
125,LMS,50,0,1000000,1000000,1
126,TFGC,50,0,1000000,1000000,1
129,STYG,50,0,1000000,1000000,1
132,HCNZ,50,1,151.32,2.83,1
135,FHY,50,0,1000000,1000000,1
141,SH,50,1,104.98,1.9,1
143,WGS,50,0,1000000,1000000,1
154,KXC,50,1,156.98,2.94,1
221,XP,50,0,1000000,1000000,2
229,YPTX,50,0,1000000,1000000,2
232,ZYDSYY,50,0,1000000,1000000,2
236,CXL,50,1,191.64,3.63,2
242,CDDKZ,50,0,1000000,1000000,2
252,LQY,50,1,160.69,3.01,2
348,SLXZ,50,0,1000000,1000000,3
340,WQNL,50,0,1000000,1000000,3
337,TPY,50,0,1000000,1000000,3
335,GSQ,50,1,157.13,2.94,3
329,SEYY,50,0,1000000,1000000,3
325,SMQ,50,1,122.61,2.25,3
312,CDYXY,50,0,1000000,1000000,3
413,WS,50,1,139.91,2.6,4
424,CDXZ,50,0,1000000,1000000,4
426,WHG,50,1,130.94,2.42,4
437,HSD,50,0,1000000,1000000,4
442,XHZ,50,0,1000000,1000000,4
520,HGL,50,0,1000000,1000000,5
536,BZXEL,50,1,143.2,2.66,5
546,SXS,50,0,1000000,1000000,5
550,JCDD,50,1,140.29,2.61,5
560,HL,50,0,1000000,1000000,5
727,CJD,50,0,1000000,1000000,7
726,LGDX,50,0,1000000,1000000,7
901,JRCD,50,0,1000000,1000000,9
907,HX,50,1,170.61,3.21,9
913,HTB,50,1,139.76,2.6,9
1036,XP,50,1,198.74,3.77,10
