ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,1,174.53,3.29,1,
122,HCBZ,50,1,173.5,3.27,1,
125,LMS,50,1,157.64,2.95,1,
126,TFGC,50,1,111.98,2.04,1,
129,STYG,50,1,178.01,3.36,1,
132,HCNZ,50,1,180.46,3.41,1,
135,FHY,50,1,187.12,3.54,1,
141,SH,50,0,1000000,1000000,1,
143,WGS,50,1,183.85,3.48,1,
154,KXC,50,1,163.88,3.08,1,
221,XP,50,1,163.33,3.07,2,
229,YPTX,50,0,1000000,1000000,2,
232,ZYDSYY,50,0,1000000,1000000,2,
236,CXL,50,0,1000000,1000000,2,
242,CDDKZ,50,1,154.08,2.88,2,
252,LQY,50,0,1000000,1000000,2,
348,SLXZ,50,1,107.05,1.94,3,
340,WQNL,50,1,105.08,1.9,3,
337,TPY,50,1,133.86,2.48,3,
335,GSQ,50,0,1000000,1000000,3,
329,SEYY,50,0,1000000,1000000,3,
325,SMQ,50,1,191.44,3.63,3,
312,CDYXY,50,1,147.36,2.75,3,
413,WS,50,1,149.42,2.79,4,
424,CDXZ,50,1,163.19,3.06,4,
426,WHG,50,1,127.82,2.36,4,
437,HSD,50,1,143.53,2.67,4,
442,XHZ,50,0,1000000,1000000,4,
520,HGL,50,1,147.86,2.76,5,
536,BZXEL,50,1,167.56,3.15,5,
546,SXS,50,1,196.92,3.74,5,
550,JCDD,50,1,180.27,3.41,5,
560,HL,50,1,163.82,3.08,5,
610,WCC,50,1,189.25,3.59,6,
612,XNJD,50,1,189.48,3.59,6,
613,XBQ,50,1,161.35,3.03,6,
614,RMBL,50,0,1000000,1000000,6,
615,QFL,50,1,164.63,3.09,6,
616,YSL,50,1,133.24,2.46,6,
617,NWM,50,0,1000000,1000000,6,
618,DG,50,0,1000000,1000000,6,
619,LLC,50,1,107.49,1.95,6,
621,XBC,50,0,1000000,1000000,6,
623,LJG,50,1,133.79,2.48,6,
727,CJD,50,1,152.5,2.85,7,
726,LGDX,50,1,191.47,3.63,7,
810,SLD,50,1,164.29,3.09,8,
812,SQL,50,1,190.72,3.61,8,
813,DDL,50,0,1000000,1000000,8,
815,NJQ,50,0,1000000,1000000,8,
816,JXDD,50,1,139.24,2.58,8,
817,GPDD,50,1,124.84,2.3,8,
818,SY,50,1,162.64,3.05,8,
819,LH,50,0,1000000,1000000,8,
901,JRCD,50,0,1000000,1000000,9,
907,HX,50,0,1000000,1000000,9,
913,HTB,50,1,149.06,2.78,9,
1036,XP,50,0,1000000,1000000,10,
