ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,1,117.84,2.16,1,
122,HCBZ,50,1,105.28,1.91,1,
125,LMS,50,1,105.05,1.9,1,
126,TFGC,50,1,192.38,3.65,1,
129,STYG,50,1,134.37,2.49,1,
132,HCNZ,50,1,167.94,3.16,1,
135,FHY,50,0,1000000,1000000,1,
141,SH,50,1,143.26,2.67,1,
143,WGS,50,1,180.19,3.4,1,
154,KXC,50,0,1000000,1000000,1,
221,XP,50,0,1000000,1000000,2,
229,YPTX,50,1,171.4,3.23,2,
232,ZYDSYY,50,1,127.02,2.34,2,
236,CXL,50,0,1000000,1000000,2,
242,CDDKZ,50,1,138.45,2.57,2,
252,LQY,50,1,155.14,2.9,2,
348,SLXZ,50,0,1000000,1000000,3,
340,WQNL,50,0,1000000,1000000,3,
337,TPY,50,1,113.29,2.07,3,
335,GSQ,50,1,168.47,3.17,3,
329,SEYY,50,0,1000000,1000000,3,
325,SMQ,50,1,101.86,1.84,3,
312,CDYXY,50,1,122.83,2.26,3,
413,WS,50,1,166.97,3.14,4,
424,CDXZ,50,1,107.15,1.94,4,
426,WHG,50,0,1000000,1000000,4,
437,HSD,50,1,146.18,2.72,4,
442,XHZ,50,1,191.59,3.63,4,
520,HGL,50,1,174.46,3.29,5,
536,BZXEL,50,1,187.93,3.56,5,
546,SXS,50,0,1000000,1000000,5,
550,JCDD,50,1,127.57,2.35,5,
560,HL,50,1,142.83,2.66,5,
727,CJD,50,1,168.17,3.16,7,
726,LGDX,50,0,1000000,1000000,7,
810,SLD,50,0,1000000,1000000,8,
812,SQL,50,1,114.85,2.1,8,
813,DDL,50,1,175.95,3.32,8,
815,NJQ,50,0,1000000,1000000,8,
816,JXDD,50,0,1000000,1000000,8,
817,GPDD,50,1,111.71,2.03,8,
818,SY,50,0,1000000,1000000,8,
819,LH,50,0,1000000,1000000,8,
901,JRCD,50,1,110.17,2,9,
907,HX,50,0,1000000,1000000,9,
913,HTB,50,0,1000000,1000000,9,
1036,XP,50,1,152.72,2.85,10,
