ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,0,1000000,1000000,1
122,HCBZ,50,1,169.31,3.19,1
125,LMS,50,1,163.85,3.08,1
126,TFGC,50,1,193.84,3.68,1
129,STYG,50,1,105.52,1.91,1
132,HCNZ,50,1,124.08,2.28,1
135,FHY,50,0,1000000,1000000,1
141,SH,50,0,1000000,1000000,1
143,WGS,50,1,119.16,2.18,1
154,KXC,50,1,128.93,2.38,1
221,XP,50,0,1000000,1000000,2
229,YPTX,50,0,1000000,1000000,2
232,ZYDSYY,50,1,117.93,2.16,2
236,CXL,50,1,181.27,3.43,2
242,CDDKZ,50,0,1000000,1000000,2
252,LQY,50,1,160.31,3.01,2
348,SLXZ,50,1,114.92,2.1,3
340,WQNL,50,1,175.31,3.31,3
337,TPY,50,1,153.38,2.87,3
335,GSQ,50,0,1000000,1000000,3
329,SEYY,50,0,1000000,1000000,3
325,SMQ,50,1,187.92,3.56,3
312,CDYXY,50,0,1000000,1000000,3
413,WS,50,0,1000000,1000000,4
424,CDXZ,50,0,1000000,1000000,4
426,WHG,50,1,191.08,3.62,4
437,HSD,50,1,198.49,3.77,4
442,XHZ,50,0,1000000,1000000,4
520,HGL,50,0,1000000,1000000,5
536,BZXEL,50,0,1000000,1000000,5
546,SXS,50,0,1000000,1000000,5
550,JCDD,50,1,123.87,2.28,5
560,HL,50,0,1000000,1000000,5
727,CJD,50,0,1000000,1000000,7
726,LGDX,50,1,118.93,2.18,7
901,JRCD,50,1,116.79,2.14,9
907,HX,50,0,1000000,1000000,9
913,HTB,50,0,1000000,1000000,9
1036,XP,50,1,153.49,2.87,10
