ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,131.86,2.44,1
122,HCBZ,50,1,118.41,2.17,1
125,LMS,50,0,1000000,1000000,1
126,TFGC,50,1,121.72,2.23,1
132,HCNZ,50,1,153.3,2.87,1
141,SH,50,0,1000000,1000000,1
143,WGS,50,0,1000000,1000000,1
154,KXC,50,0,1000000,1000000,1
221,XP,50,1,199.7,3.79,2
229,YPTX,50,1,119.58,2.19,2
232,ZYDSYY,50,1,111.56,2.03,2
242,CDDKZ,50,0,1000000,1000000,2
252,LQY,50,1,117.28,2.15,2
413,WS,50,1,130.9,2.42,4
426,WHG,50,1,188.11,3.56,4
437,HSD,50,0,1000000,1000000,4
442,XHZ,50,1,102.09,1.84,4
520,HGL,50,1,109.41,1.99,5
536,BZXEL,50,1,168.98,3.18,5
546,SXS,50,0,1000000,1000000,5
560,HL,50,1,199.98,3.8,5
727,CJD,50,0,1000000,1000000,7
726,LGDX,50,1,142.13,2.64,7
