ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,183.09,3.46,1
122,HCBZ,50,1,188.57,3.57,1
125,LMS,50,1,117.56,2.15,1
126,TFGC,50,1,168.35,3.17,1
129,STYG,50,1,168.51,3.17,1
132,HCNZ,50,1,104.67,1.89,1
135,FHY,50,1,122.24,2.24,1
141,SH,50,1,184.24,3.48,1
143,WGS,50,1,139.45,2.59,1
154,KXC,50,1,191.17,3.62,1
221,XP,50,0,1000000,1000000,2
229,YPTX,50,0,1000000,1000000,2
232,ZYDSYY,50,1,105.47,1.91,2
236,CXL,50,0,1000000,1000000,2
242,CDDKZ,50,0,1000000,1000000,2
252,LQY,50,0,1000000,1000000,2
348,SLXZ,50,1,173.55,3.27,3
340,WQNL,50,0,1000000,1000000,3
337,TPY,50,1,100.7,1.81,3
335,GSQ,50,1,140.35,2.61,3
329,SEYY,50,1,115.65,2.11,3
325,SMQ,50,0,1000000,1000000,3
312,CDYXY,50,0,1000000,1000000,3
413,WS,50,1,113.74,2.07,4
424,CDXZ,50,0,1000000,1000000,4
426,WHG,50,1,100.13,1.8,4
437,HSD,50,1,159.21,2.98,4
442,XHZ,50,1,186.08,3.52,4
520,HGL,50,0,1000000,1000000,5
536,BZXEL,50,0,1000000,1000000,5
546,SXS,50,1,178.45,3.37,5
550,JCDD,50,0,1000000,1000000,5
560,HL,50,1,153.4,2.87,5
727,CJD,50,1,124.85,2.3,7
726,LGDX,50,0,1000000,1000000,7
901,JRCD,50,0,1000000,1000000,9
907,HX,50,1,179.66,3.39,9
913,HTB,50,1,193.93,3.68,9
1036,XP,50,1,166.57,3.13,10
