ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,0,1000000,1000000,1,
122,HCBZ,50,1,146.13,2.72,1,
125,LMS,50,1,145.62,2.71,1,
126,TFGC,50,1,124.47,2.29,1,
129,STYG,50,1,101.44,1.83,1,
132,HCNZ,50,0,1000000,1000000,1,
135,FHY,50,0,1000000,1000000,1,
141,SH,50,0,1000000,1000000,1,
143,WGS,50,1,142.35,2.65,1,
154,KXC,50,1,100.5,1.81,1,
221,XP,50,0,1000000,1000000,2,
229,YPTX,50,1,119.19,2.18,2,
232,ZYDSYY,50,1,124.17,2.28,2,
236,CXL,50,0,1000000,1000000,2,
242,CDDKZ,50,0,1000000,1000000,2,
252,LQY,50,1,173.37,3.27,2,
348,SLXZ,50,0,1000000,1000000,3,
340,WQNL,50,0,1000000,1000000,3,
337,TPY,50,1,124.86,2.3,3,
335,GSQ,50,1,112.47,2.05,3,
329,SEYY,50,1,167.89,3.16,3,
325,SMQ,50,1,146.21,2.72,3,
312,CDYXY,50,1,115.99,2.12,3,
413,WS,50,1,141.39,2.63,4,
424,CDXZ,50,1,108.25,1.96,4,
426,WHG,50,1,113.5,2.07,4,
437,HSD,50,1,102.01,1.84,4,
442,XHZ,50,0,1000000,1000000,4,
520,HGL,50,1,140.35,2.61,5,
536,BZXEL,50,1,190.37,3.61,5,
546,SXS,50,1,187.27,3.55,5,
550,JCDD,50,1,199.51,3.79,5,
560,HL,50,0,1000000,1000000,5,
727,CJD,50,1,126.69,2.33,7,
726,LGDX,50,1,181.79,3.44,7,
810,SLD,50,0,1000000,1000000,8,
812,SQL,50,1,100.7,1.81,8,
813,DDL,50,0,1000000,1000000,8,
815,NJQ,50,0,1000000,1000000,8,
816,JXDD,50,0,1000000,1000000,8,
817,GPDD,50,0,1000000,1000000,8,
818,SY,50,1,116.15,2.12,8,
819,LH,50,0,1000000,1000000,8,
901,JRCD,50,1,150.48,2.81,9,
907,HX,50,1,169.26,3.19,9,
913,HTB,50,1,146.87,2.74,9,
1036,XP,50,1,163.03,3.06,10,
