ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,187.41,3.55,1
122,HCBZ,50,1,104.3,1.89,1
125,LMS,50,1,185.82,3.52,1
126,TFGC,50,1,167.01,3.14,1
129,STYG,50,1,152.72,2.85,1
132,HCNZ,50,1,173.19,3.26,1
135,FHY,50,1,187.57,3.55,1
141,SH,50,1,162.73,3.05,1
143,WGS,50,1,137.59,2.55,1
154,KXC,50,1,162.78,3.06,1
221,XP,50,1,119.31,2.19,2
229,YPTX,50,1,181.01,3.42,2
232,ZYDSYY,50,0,1000000,1000000,2
236,CXL,50,1,163.27,3.07,2
242,CDDKZ,50,1,197.33,3.75,2
252,LQY,50,1,198.65,3.77,2
348,SLXZ,50,1,190.95,3.62,3
340,WQNL,50,1,197.45,3.75,3
337,TPY,50,1,194.62,3.69,3
335,GSQ,50,1,185.17,3.5,3
329,SEYY,50,0,1000000,1000000,3
325,SMQ,50,1,156.81,2.94,3
312,CDYXY,50,1,138.84,2.58,3
413,WS,50,1,187.38,3.55,4
424,CDXZ,50,1,163.44,3.07,4
426,WHG,50,1,164.24,3.08,4
437,HSD,50,1,142.99,2.66,4
442,XHZ,50,1,180.49,3.41,4
520,HGL,50,1,108.96,1.98,5
536,BZXEL,50,1,110.34,2.01,5
546,SXS,50,0,1000000,1000000,5
550,JCDD,50,1,177.54,3.35,5
560,HL,50,1,114.24,2.08,5
727,CJD,50,1,135.09,2.5,7
726,LGDX,50,1,183.41,3.47,7
901,JRCD,50,0,1000000,1000000,9
907,HX,50,1,123.95,2.28,9
913,HTB,50,1,127.59,2.35,9
1036,XP,50,1,176.53,3.33,10
