ID,FromNodeID ,ToNodeID,FromNodeName,ToNodeName,Time,Distance,LineN,Section,Direction,Capacity
1,120,122,WJN,HCBZ,237,0.62,1,1,DOWN,240
2,122,125,HCBZ,LMS,258,0.68,1,2,DOWN,240
3,125,126,LMS,TFGC,80,0.2,1,3,DOWN,240
4,126,129,TFGC,STYG,221,0.53,1,4,DOWN,240
5,129,815,STYG,NJQ,77,0.19,1,5,DOWN,240
6,815,132,NJQ,HCNZ,168,0.43,1,6,DOWN,240
7,132,135,HCNZ,FHY,258,0.69,1,7,DOWN,240
8,135,141,FHY,SH,550,1.33,1,8,DOWN,240
9,141,143,SH,WGS,200,0.49,1,9,DOWN,240
10,141,154,SH,KXC,1147,2.82,1,10,DOWN,240
11,122,120,HCBZ,WJN,237,0.62,1,1,UP,240
12,125,122,LMS,HCBZ,258,0.68,1,2,UP,240
13,126,125,TFGC,LMS,80,0.2,1,3,UP,240
14,129,126,STYG,TFGC,221,0.53,1,4,UP,240
15,815,129,NJQ,STYG,77,0.19,1,5,UP,240
16,132,815,HCNZ,NJQ,168,0.43,1,6,UP,240
17,135,132,FHY,HCNZ,258,0.69,1,7,UP,240
18,141,135,SH,FHY,550,1.33,1,8,UP,240
19,143,141,WGS,SH,200,0.49,1,9,UP,240
20,154,141,KXC,SH,1147,2.82,1,10,UP,240
21,221,229,XP,YPTX,825,2.25,2,11,UP,240
22,229,232,YPTX,ZYDSYY,293,0.73,2,12,UP,240
23,232,126,ZYDSYY,TFGC,240,0.54,2,13,UP,240
24,126,236,TFGC,CXL,109,0.28,2,14,UP,240
25,236,813,CXL,DDL,326,0.78,2,15,UP,240
26,813,242,DDL,CDDKZ,200,0.56,2,16,UP,240
27,242,252,CDDKZ,LQY,1119,3.19,2,17,UP,240
28,229,221,YPTX,XP,825,2.25,2,11,DOWN,240
29,232,229,ZYDSYY,YPTX,293,0.73,2,12,DOWN,240
30,126,232,TFGC,ZYDSYY,240,0.54,2,13,DOWN,240
31,236,126,CXL,TFGC,109,0.28,2,14,DOWN,240
32,813,236,DDL,CXL,326,0.78,2,15,DOWN,240
33,242,813,CDDKZ,DDL,200,0.56,2,16,DOWN,240
34,252,242,LQY,CDDKZ,1119,3.19,2,17,DOWN,240
35,348,340,SLXZ,WQNL,885,2.67,3,18,UP,240
36,340,337,WQNL,TPY,293,0.84,3,19,UP,240
37,337,335,TPY,GSQ,200,0.58,3,20,UP,240
38,335,129,GSQ,STYG,173,0.5,3,21,UP,240
39,129,236,STYG,CXL,245,0.64,3,22,UP,240
40,236,329,CXL,EYY,73,0.17,3,23,UP,240
41,329,325,EYY,SMQ,322,0.84,3,24,UP,240
42,325,312,SMQ,CDYXY,1244,3.68,3,25,UP,240
43,340,348,WQNL,SLXZ,885,2.67,3,18,DOWN,240
44,337,340,TPY,WQNL,293,0.84,3,19,DOWN,240
45,335,337,GSQ,TPY,200,0.58,3,20,DOWN,240
46,129,335,STYG,GSQ,173,0.5,3,21,DOWN,240
47,236,129,CXL,STYG,245,0.64,3,22,DOWN,240
48,329,236,EYY,CXL,73,0.17,3,23,DOWN,240
49,325,329,SMQ,EYY,322,0.84,3,24,DOWN,240
50,312,325,CDYXY,SMQ,1244,3.68,3,25,DOWN,240
51,413,424,WS,CDXZ,1165,3.45,4,26,UP,240
52,424,426,CDXZ,WHG,230,0.71,4,27,UP,240
53,426,232,WHG,ZYD,236,0.61,4,28,UP,240
54,232,125,ZYD,LMS,182,0.51,4,29,UP,240
55,125,329,LMS,SEYY,156,0.39,4,30,UP,240
56,329,812,SEYY,SQL,207,0.63,4,31,UP,240
57,812,437,SQL,HSD,210,0.59,4,32,UP,240
58,437,442,HSD,XHZ,524,1.59,4,33,UP,240
59,424,413,CDXZ,WS,1165,3.45,4,26,DOWN,240
60,426,424,WHG,CDXZ,230,0.71,4,27,DOWN,240
61,232,426,ZYD,WHG,236,0.61,4,28,DOWN,240
62,125,232,LMS,ZYD,182,0.51,4,29,DOWN,240
63,329,125,SEYY,LMS,156,0.39,4,30,DOWN,240
64,812,329,SQL,SEYY,207,0.63,4,31,DOWN,240
65,437,812,HSD,SQL,210,0.59,4,32,DOWN,240
66,442,437,XHZ,HSD,524,1.59,4,33,DOWN,240
67,520,536,HGL,BZXEL,1454,3.47,5,34,DOWN,320
68,536,232,BZXEL,ZYDSYY,389,0.94,5,35,DOWN,320
69,232,335,ZYDSYY,GSQ,259,0.59,5,36,DOWN,320
70,335,816,GSQ,JXDD,195,0.47,5,37,DOWN,320
71,816,546,JXDD,SXS,120,0.32,5,38,DOWN,320
72,546,550,SXS,JCDD,392,0.84,5,39,DOWN,320
73,550,560,JCDD,HL,1107,3.02,5,40,DOWN,320
74,536,520,BZXEL,HGL,1454,3.47,5,34,UP,320
75,232,536,ZYDSYY,BZXEL,389,0.94,5,35,UP,320
76,335,232,GSQ,ZYDSYY,259,0.59,5,36,UP,320
77,816,335,JXDD,GSQ,195,0.47,5,37,UP,320
