ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,133.21,2.46,1
122,HCBZ,50,1,124.86,2.3,1
125,LMS,50,1,159.9,3,1
126,TFGC,50,0,1000000,1000000,1
129,STYG,50,1,199.38,3.79,1
132,HCNZ,50,0,1000000,1000000,1
135,FHY,50,1,112.87,2.06,1
141,SH,50,1,163.42,3.07,1
143,WGS,50,0,1000000,1000000,1
154,KXC,50,0,1000000,1000000,1
221,XP,50,1,127.14,2.34,2
229,YPTX,50,1,154.62,2.89,2
232,ZYDSYY,50,0,1000000,1000000,2
236,CXL,50,1,153.5,2.87,2
242,CDDKZ,50,1,151.25,2.82,2
252,LQY,50,1,104.7,1.89,2
348,SLXZ,50,1,169.74,3.19,3
340,WQNL,50,0,1000000,1000000,3
337,TPY,50,1,101.77,1.84,3
335,GSQ,50,0,1000000,1000000,3
329,SEYY,50,0,1000000,1000000,3
325,SMQ,50,1,143.19,2.66,3
312,CDYXY,50,0,1000000,1000000,3
413,WS,50,0,1000000,1000000,4
424,CDXZ,50,1,169.68,3.19,4
426,WHG,50,1,140,2.6,4
437,HSD,50,0,1000000,1000000,4
442,XHZ,50,1,176.04,3.32,4
520,HGL,50,0,1000000,1000000,5
536,BZXEL,50,1,197.46,3.75,5
546,SXS,50,1,111.44,2.03,5
550,JCDD,50,1,162.29,3.05,5
560,HL,50,0,1000000,1000000,5
727,CJD,50,1,173.48,3.27,7
726,LGDX,50,1,160.54,3.01,7
901,JRCD,50,1,131.12,2.42,9
907,HX,50,1,110.13,2,9
913,HTB,50,0,1000000,1000000,9
1036,XP,50,1,111.88,2.04,10
