ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,0,1000000,1000000,1
122,HCBZ,50,1,153.53,2.87,1
125,LMS,50,0,1000000,1000000,1
126,TFGC,50,1,110.94,2.02,1
129,STYG,50,0,1000000,1000000,1
132,HCNZ,50,1,168.63,3.17,1
141,SH,50,0,1000000,1000000,1
143,WGS,50,1,128.38,2.37,1
154,KXC,50,0,1000000,1000000,1
221,XP,50,1,114.18,2.08,2
229,YPTX,50,0,1000000,1000000,2
232,ZYDSYY,50,1,186.65,3.53,2
236,CXL,50,0,1000000,1000000,2
242,CDDKZ,50,1,138.07,2.56,2
252,LQY,50,0,1000000,1000000,2
348,SLXZ,50,1,116.69,2.13,3
337,TPY,50,0,1000000,1000000,3
335,GSQ,50,1,122.96,2.26,3
329,SEYY,50,0,1000000,1000000,3
325,SMQ,50,1,182.71,3.45,3
312,CDYXY,50,0,1000000,1000000,3
413,WS,50,1,150.72,2.81,4
426,WHG,50,0,1000000,1000000,4
437,HSD,50,1,170.43,3.21,4
442,XHZ,50,0,1000000,1000000,4
520,HGL,50,1,120.88,2.22,5
536,BZXEL,50,0,1000000,1000000,5
546,SXS,50,1,104.25,1.88,5
560,HL,50,0,1000000,1000000,5
727,CJD,50,1,134.85,2.5,7
726,LGDX,50,0,1000000,1000000,7
