ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,185.08,3.5,1
122,HCBZ,50,1,110.96,2.02,1
125,LMS,50,1,123.97,2.28,1
126,TFGC,50,0,1000000,1000000,1
129,STYG,50,1,137.81,2.56,1
132,HCNZ,50,1,180.28,3.41,1
135,FHY,50,1,193.21,3.66,1
141,SH,50,1,121.85,2.24,1
143,WGS,50,1,138.48,2.57,1
154,KXC,50,0,1000000,1000000,1
221,XP,50,1,183.31,3.47,2
229,YPTX,50,1,101.15,1.82,2
232,ZYDSYY,50,1,122.91,2.26,2
236,CXL,50,1,156.45,2.93,2
242,CDDKZ,50,1,104.32,1.89,2
252,LQY,50,1,194.84,3.7,2
348,SLXZ,50,1,152.55,2.85,3
340,WQNL,50,1,124.37,2.29,3
337,TPY,50,0,1000000,1000000,3
335,GSQ,50,1,182.32,3.45,3
329,SEYY,50,1,104.38,1.89,3
325,SMQ,50,1,182.1,3.44,3
312,CDYXY,50,1,124.46,2.29,3
413,WS,50,1,141.09,2.62,4
424,CDXZ,50,1,186.01,3.52,4
426,WHG,50,1,154.88,2.9,4
437,HSD,50,1,172.35,3.25,4
442,XHZ,50,1,121.19,2.22,4
520,HGL,50,1,196,3.72,5
536,BZXEL,50,1,150.31,2.81,5
546,SXS,50,1,148.07,2.76,5
550,JCDD,50,1,176.48,3.33,5
560,HL,50,1,156.74,2.93,5
727,CJD,50,1,152.84,2.86,7
726,LGDX,50,1,119.05,2.18,7
901,JRCD,50,1,105.14,1.9,9
907,HX,50,1,177.09,3.34,9
913,HTB,50,0,1000000,1000000,9
1036,XP,50,1,123.96,2.28,10
