ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,1,199.77,3.8,1,
122,HCBZ,50,1,198.21,3.76,1,
125,LMS,50,0,1000000,1000000,1,
126,TFGC,50,1,112.18,2.04,1,
129,STYG,50,0,1000000,1000000,1,
132,HCNZ,50,0,1000000,1000000,1,
135,FHY,50,1,105.54,1.91,1,
141,SH,50,1,128.31,2.37,1,
143,WGS,50,1,105.98,1.92,1,
154,KXC,50,0,1000000,1000000,1,
221,XP,50,1,177.31,3.35,2,
229,YPTX,50,1,107.24,1.94,2,
232,ZYDSYY,50,0,1000000,1000000,2,
236,CXL,50,1,139.46,2.59,2,
242,CDDKZ,50,1,150.93,2.82,2,
252,LQY,50,0,1000000,1000000,2,
348,SLXZ,50,0,1000000,1000000,3,
340,WQNL,50,1,148.65,2.77,3,
337,TPY,50,1,142.95,2.66,3,
335,GSQ,50,0,1000000,1000000,3,
329,SEYY,50,1,108.47,1.97,3,
325,SMQ,50,1,124.95,2.3,3,
312,CDYXY,50,0,1000000,1000000,3,
413,WS,50,0,1000000,1000000,4,
424,CDXZ,50,1,102.02,1.84,4,
426,WHG,50,0,1000000,1000000,4,
437,HSD,50,0,1000000,1000000,4,
442,XHZ,50,0,1000000,1000000,4,
520,HGL,50,1,143.52,2.67,5,
536,BZXEL,50,0,1000000,1000000,5,
546,SXS,50,1,106.22,1.92,5,
550,JCDD,50,0,1000000,1000000,5,
560,HL,50,0,1000000,1000000,5,
727,CJD,50,1,151.52,2.83,7,
726,LGDX,50,0,1000000,1000000,7,
810,SLD,50,1,154.14,2.88,8,
812,SQL,50,1,128.31,2.37,8,
813,DDL,50,1,174.05,3.28,8,
815,NJQ,50,0,1000000,1000000,8,
816,JXDD,50,1,139.2,2.58,8,
817,GPDD,50,1,185.97,3.52,8,
818,SY,50,1,186.29,3.53,8,
819,LH,50,0,1000000,1000000,8,
901,JRCD,50,1,171.39,3.23,9,
907,HX,50,0,1000000,1000000,9,
913,HTB,50,0,1000000,1000000,9,
1036,XP,50,0,1000000,1000000,10,
