ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,0,1000000,1000000,1,
122,HCBZ,50,0,1000000,1000000,1,
125,LMS,50,0,1000000,1000000,1,
126,TFGC,50,1,108.99,1.98,1,
129,STYG,50,1,148.68,2.77,1,
132,HCNZ,50,1,112.26,2.05,1,
135,FHY,50,1,131.3,2.43,1,
141,SH,50,1,150.61,2.81,1,
143,WGS,50,1,181.45,3.43,1,
154,KXC,50,1,155.47,2.91,1,
221,XP,50,0,1000000,1000000,2,
229,YPTX,50,0,1000000,1000000,2,
232,ZYDSYY,50,1,154.66,2.89,2,
236,CXL,50,1,142.47,2.65,2,
242,CDDKZ,50,1,169.15,3.18,2,
252,LQY,50,1,171.09,3.22,2,
348,SLXZ,50,1,156.94,2.94,3,
340,WQNL,50,1,147.42,2.75,3,
337,TPY,50,0,1000000,1000000,3,
335,GSQ,50,1,147.7,2.75,3,
329,SEYY,50,1,197.01,3.74,3,
325,SMQ,50,0,1000000,1000000,3,
312,CDYXY,50,1,144.03,2.68,3,
413,WS,50,1,127.81,2.36,4,
424,CDXZ,50,0,1000000,1000000,4,
426,WHG,50,1,100.47,1.81,4,
437,HSD,50,0,1000000,1000000,4,
442,XHZ,50,1,141.45,2.63,4,
520,HGL,50,0,1000000,1000000,5,
536,BZXEL,50,1,137.89,2.56,5,
546,SXS,50,1,165.79,3.12,5,
550,JCDD,50,1,171.14,3.22,5,
560,HL,50,1,184.26,3.49,5,
727,CJD,50,1,161.77,3.04,7,
726,LGDX,50,1,179.69,3.39,7,
810,SLD,50,1,193.98,3.68,8,
812,SQL,50,0,1000000,1000000,8,
813,DDL,50,1,141.78,2.64,8,
815,NJQ,50,1,109.67,1.99,8,
816,JXDD,50,1,139.55,2.59,8,
817,GPDD,50,0,1000000,1000000,8,
818,SY,50,1,171.06,3.22,8,
819,LH,50,1,155.54,2.91,8,
901,JRCD,50,1,134.46,2.49,9,
907,HX,50,1,189,3.58,9,
913,HTB,50,1,181.77,3.44,9,
1036,XP,50,1,194.66,3.69,10,
