ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,0,1000000,1000000,1
122,HCBZ,50,0,1000000,1000000,1
125,LMS,50,0,1000000,1000000,1
126,TFGC,50,1,197.81,3.76,1
129,STYG,50,0,1000000,1000000,1
132,HCNZ,50,1,193.33,3.67,1
135,FHY,50,1,184.03,3.48,1
141,SH,50,1,169.16,3.18,1
143,WGS,50,0,1000000,1000000,1
154,KXC,50,1,188.17,3.56,1
221,XP,50,1,133.52,2.47,2
229,YPTX,50,0,1000000,1000000,2
232,ZYDSYY,50,1,109.79,2,2
236,CXL,50,1,182.13,3.44,2
242,CDDKZ,50,1,120.28,2.21,2
252,LQY,50,1,111.84,2.04,2
348,SLXZ,50,0,1000000,1000000,3
340,WQNL,50,1,199,3.78,3
337,TPY,50,0,1000000,1000000,3
335,GSQ,50,0,1000000,1000000,3
329,SEYY,50,0,1000000,1000000,3
325,SMQ,50,0,1000000,1000000,3
312,CDYXY,50,0,1000000,1000000,3
413,WS,50,0,1000000,1000000,4
424,CDXZ,50,1,182.13,3.44,4
426,WHG,50,1,102.55,1.85,4
437,HSD,50,1,197.14,3.74,4
442,XHZ,50,1,143.01,2.66,4
520,HGL,50,0,1000000,1000000,5
536,BZXEL,50,0,1000000,1000000,5
546,SXS,50,0,1000000,1000000,5
550,JCDD,50,0,1000000,1000000,5
560,HL,50,0,1000000,1000000,5
727,CJD,50,0,1000000,1000000,7
726,LGDX,50,0,1000000,1000000,7
901,JRCD,50,0,1000000,1000000,9
907,HX,50,0,1000000,1000000,9
913,HTB,50,0,1000000,1000000,9
1036,XP,50,0,1000000,1000000,10
