ID,FromNodeID ,ToNodeID,FromNodeName,ToNodeName,Time,Distance,LineN,Section,Direction,Capacity
1,120,122,WJN,HCBZ,237,0.54,1,1,DOWN,240
2,122,125,HCBZ,LMS,258,0.6,1,2,DOWN,240
3,125,126,LMS,TFGC,80,0.18,1,3,DOWN,240
4,126,129,TFGC,STYG,221,0.47,1,4,DOWN,240
5,129,132,STYG,HCNZ,245,0.55,1,5,DOWN,240
6,132,135,HCNZ,FHY,258,0.6,1,6,DOWN,240
7,135,141,FHY,SH,550,1.16,1,7,DOWN,240
8,141,143,SH,WGS,200,0.42,1,8,DOWN,240
9,141,154,SH,KXC,1147,2.45,1,9,DOWN,240
10,122,120,HCBZ,WJN,237,0.54,1,1,UP,240
11,125,122,LMS,HCBZ,258,0.6,1,2,UP,240
12,126,125,TFGC,LMS,80,0.18,1,3,UP,240
13,129,126,STYG,TFGC,221,0.47,1,4,UP,240
14,132,129,HCNZ,STYG,245,0.55,1,5,UP,240
15,135,132,FHY,HCNZ,258,0.6,1,6,UP,240
16,141,135,SH,FHY,550,1.16,1,7,UP,240
17,143,141,WGS,SH,200,0.42,1,8,UP,240
18,154,141,KXC,SH,1147,2.45,1,9,UP,240
19,221,229,XP,YPTX,825,1.96,2,10,UP,240
20,229,232,YPTX,ZYDSYY,293,0.64,2,11,UP,240
21,232,126,ZYDSYY,TFGC,240,0.47,2,12,UP,240
22,126,236,TFGC,CXL,109,0.25,2,13,UP,240
23,236,242,CXL,CDDKZ,526,1.17,2,14,UP,240
24,242,252,CDDKZ,LQY,1119,2.78,2,15,UP,240
25,229,221,YPTX,XP,825,1.96,2,10,DOWN,240
26,232,229,ZYDSYY,YPTX,293,0.64,2,11,DOWN,240
27,126,232,TFGC,ZYDSYY,240,0.47,2,12,DOWN,240
28,236,126,CXL,TFGC,109,0.25,2,13,DOWN,240
29,242,236,CDDKZ,CXL,526,1.17,2,14,DOWN,240
30,252,242,LQY,CDDKZ,1119,2.78,2,15,DOWN,240
31,348,340,SLXZ,WQNL,885,2.33,3,16,UP,240
32,340,337,WQNL,TPY,293,0.73,3,17,UP,240
33,337,335,TPY,GSQ,200,0.5,3,18,UP,240
34,335,129,GSQ,STYG,173,0.43,3,19,UP,240
