ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,0,1000000,1000000,1
122,HCBZ,50,0,1000000,1000000,1
125,LMS,50,1,158.23,2.96,1
126,TFGC,50,0,1000000,1000000,1
129,STYG,50,1,105.76,1.92,1
132,HCNZ,50,1,166.69,3.13,1
141,SH,50,0,1000000,1000000,1
143,WGS,50,0,1000000,1000000,1
154,KXC,50,0,1000000,1000000,1
221,XP,50,0,1000000,1000000,2
229,YPTX,50,0,1000000,1000000,2
232,ZYDSYY,50,1,133.47,2.47,2
236,CXL,50,0,1000000,1000000,2
242,CDDKZ,50,0,1000000,1000000,2
252,LQY,50,1,108.9,1.98,2
348,SLXZ,50,1,191.8,3.64,3
337,TPY,50,0,1000000,1000000,3
335,GSQ,50,0,1000000,1000000,3
329,SEYY,50,0,1000000,1000000,3
325,SMQ,50,1,140.59,2.61,3
312,CDYXY,50,1,143.13,2.66,3
413,WS,50,1,167.46,3.15,4
426,WHG,50,0,1000000,1000000,4
437,HSD,50,0,1000000,1000000,4
442,XHZ,50,1,143.24,2.66,4
520,HGL,50,1,106.6,1.93,5
536,BZXEL,50,1,128.59,2.37,5
546,SXS,50,0,1000000,1000000,5
560,HL,50,1,152.29,2.85,5
727,CJD,50,1,111.32,2.03,7
726,LGDX,50,1,154.32,2.89,7
