ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,0,1000000,1000000,1
122,HCBZ,50,1,108.09,1.96,1
125,LMS,50,1,150.53,2.81,1
126,TFGC,50,0,1000000,1000000,1
129,STYG,50,0,1000000,1000000,1
132,HCNZ,50,1,120.87,2.22,1
135,FHY,50,0,1000000,1000000,1
141,SH,50,1,120.7,2.21,1
143,WGS,50,0,1000000,1000000,1
154,KXC,50,1,105.01,1.9,1
221,XP,50,0,1000000,1000000,2
229,YPTX,50,0,1000000,1000000,2
232,ZYDSYY,50,0,1000000,1000000,2
236,CXL,50,0,1000000,1000000,2
242,CDDKZ,50,0,1000000,1000000,2
252,LQY,50,0,1000000,1000000,2
348,SLXZ,50,1,111.29,2.03,3
340,WQNL,50,0,1000000,1000000,3
337,TPY,50,1,113.03,2.06,3
335,GSQ,50,0,1000000,1000000,3
329,SEYY,50,0,1000000,1000000,3
325,SMQ,50,0,1000000,1000000,3
312,CDYXY,50,1,199.55,3.79,3
413,WS,50,1,163.86,3.08,4
424,CDXZ,50,0,1000000,1000000,4
426,WHG,50,0,1000000,1000000,4
437,HSD,50,1,135.99,2.52,4
442,XHZ,50,0,1000000,1000000,4
520,HGL,50,0,1000000,1000000,5
536,BZXEL,50,1,162.44,3.05,5
546,SXS,50,0,1000000,1000000,5
550,JCDD,50,1,188.13,3.56,5
560,HL,50,1,163.54,3.07,5
727,CJD,50,1,179.84,3.4,7
726,LGDX,50,0,1000000,1000000,7
901,JRCD,50,1,133.05,2.46,9
907,HX,50,0,1000000,1000000,9
913,HTB,50,0,1000000,1000000,9
1036,XP,50,0,1000000,1000000,10
