ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,0,1000000,1000000,1
122,HCBZ,50,1,183.43,3.47,1
125,LMS,50,1,157.57,2.95,1
126,TFGC,50,1,176.5,3.33,1
129,STYG,50,1,167.28,3.15,1
132,HCNZ,50,1,115.28,2.11,1
141,SH,50,0,1000000,1000000,1
143,WGS,50,1,169.81,3.2,1
154,KXC,50,1,136.81,2.54,1
221,XP,50,1,149.96,2.8,2
229,YPTX,50,1,120.12,2.2,2
232,ZYDSYY,50,1,134.35,2.49,2
236,CXL,50,0,1000000,1000000,2
242,CDDKZ,50,1,189.79,3.6,2
252,LQY,50,1,159.63,2.99,2
348,SLXZ,50,1,104.29,1.89,3
337,TPY,50,1,130.94,2.42,3
335,GSQ,50,1,194.58,3.69,3
329,SEYY,50,0,1000000,1000000,3
325,SMQ,50,1,198.52,3.77,3
312,CDYXY,50,1,148.62,2.77,3
413,WS,50,1,121.46,2.23,4
426,WHG,50,1,152.86,2.86,4
437,HSD,50,1,172.32,3.25,4
442,XHZ,50,0,1000000,1000000,4
520,HGL,50,1,125.47,2.31,5
536,BZXEL,50,1,135.63,2.51,5
546,SXS,50,1,182.37,3.45,5
560,HL,50,1,106.64,1.93,5
727,CJD,50,1,141.43,2.63,7
726,LGDX,50,0,1000000,1000000,7
