ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,0,1000000,1000000,1,
122,HCBZ,50,0,1000000,1000000,1,
125,LMS,50,0,1000000,1000000,1,
126,TFGC,50,0,1000000,1000000,1,
129,STYG,50,1,118.62,2.17,1,
132,HCNZ,50,1,128.19,2.36,1,
135,FHY,50,1,194.17,3.68,1,
141,SH,50,1,199.68,3.79,1,
143,WGS,50,0,1000000,1000000,1,
154,KXC,50,1,147.52,2.75,1,
221,XP,50,1,132.99,2.46,2,
229,YPTX,50,1,114.49,2.09,2,
232,ZYDSYY,50,1,184.28,3.49,2,
236,CXL,50,1,116.66,2.13,2,
242,CDDKZ,50,1,195.28,3.71,2,
252,LQY,50,0,1000000,1000000,2,
348,SLXZ,50,0,1000000,1000000,3,
340,WQNL,50,1,108.19,1.96,3,
337,TPY,50,0,1000000,1000000,3,
335,GSQ,50,1,116.64,2.13,3,
329,SEYY,50,1,184.05,3.48,3,
325,SMQ,50,1,188.54,3.57,3,
312,CDYXY,50,1,135.46,2.51,3,
413,WS,50,1,136.22,2.52,4,
424,CDXZ,50,1,117.55,2.15,4,
426,WHG,50,0,1000000,1000000,4,
437,HSD,50,1,147.61,2.75,4,
442,XHZ,50,0,1000000,1000000,4,
520,HGL,50,1,116,2.12,5,
536,BZXEL,50,1,155.14,2.9,5,
546,SXS,50,1,169.13,3.18,5,
550,JCDD,50,0,1000000,1000000,5,
560,HL,50,1,155.71,2.91,5,
610,WCC,50,1,164.37,3.09,6,
612,XNJD,50,1,101.16,1.82,6,
613,XBQ,50,1,116.62,2.13,6,
614,RMBL,50,0,1000000,1000000,6,
615,QFL,50,1,146.37,2.73,6,
616,YSL,50,0,1000000,1000000,6,
617,NWM,50,1,196.25,3.73,6,
618,DG,50,0,1000000,1000000,6,
619,LLC,50,1,127.9,2.36,6,
621,XBC,50,0,1000000,1000000,6,
623,LJG,50,0,1000000,1000000,6,
727,CJD,50,1,166.97,3.14,7,
726,LGDX,50,1,143.09,2.66,7,
810,SLD,50,0,1000000,1000000,8,
812,SQL,50,1,140.04,2.6,8,
813,DDL,50,0,1000000,1000000,8,
815,NJQ,50,1,101.81,1.84,8,
816,JXDD,50,1,153.83,2.88,8,
817,GPDD,50,1,189.61,3.59,8,
818,SY,50,1,192.91,3.66,8,
819,LH,50,1,131.37,2.43,8,
901,JRCD,50,1,166.87,3.14,9,
907,HX,50,1,144.02,2.68,9,
913,HTB,50,1,199.74,3.79,9,
1036,XP,50,1,117.62,2.15,10,
