ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,170.32,3.21,1
122,HCBZ,50,1,172.98,3.26,1
125,LMS,50,1,187.97,3.56,1
126,TFGC,50,1,128.04,2.36,1
129,STYG,50,0,1000000,1000000,1
132,HCNZ,50,1,158.09,2.96,1
141,SH,50,1,159.55,2.99,1
143,WGS,50,1,166,3.12,1
154,KXC,50,1,166.11,3.12,1
221,XP,50,1,111.43,2.03,2
229,YPTX,50,1,134.27,2.49,2
232,ZYDSYY,50,1,162.43,3.05,2
236,CXL,50,1,163.91,3.08,2
242,CDDKZ,50,1,159.06,2.98,2
252,LQY,50,1,128.32,2.37,2
348,SLXZ,50,1,193.31,3.67,3
337,TPY,50,1,127.3,2.35,3
335,GSQ,50,1,128.96,2.38,3
329,SEYY,50,1,105.3,1.91,3
325,SMQ,50,1,144.51,2.69,3
312,CDYXY,50,1,163.86,3.08,3
413,WS,50,1,135.26,2.51,4
426,WHG,50,1,139.31,2.59,4
437,HSD,50,1,174.59,3.29,4
442,XHZ,50,1,147.23,2.74,4
520,HGL,50,1,197,3.74,5
536,BZXEL,50,1,147.8,2.76,5
546,SXS,50,1,101.55,1.83,5
560,HL,50,1,187.13,3.54,5
727,CJD,50,1,145.4,2.71,7
726,LGDX,50,1,142.82,2.66,7
