ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,143.44,2.67,1
122,HCBZ,50,1,125.07,2.3,1
125,LMS,50,1,132.75,2.45,1
126,TFGC,50,0,1000000,1000000,1
129,STYG,50,1,178.42,3.37,1
132,HCNZ,50,0,1000000,1000000,1
141,SH,50,1,140.38,2.61,1
143,WGS,50,1,169.52,3.19,1
154,KXC,50,1,147.32,2.75,1
221,XP,50,0,1000000,1000000,2
229,YPTX,50,1,157.5,2.95,2
232,ZYDSYY,50,1,144.04,2.68,2
236,CXL,50,0,1000000,1000000,2
242,CDDKZ,50,1,179.61,3.39,2
252,LQY,50,0,1000000,1000000,2
348,SLXZ,50,1,109.37,1.99,3
337,TPY,50,0,1000000,1000000,3
335,GSQ,50,1,182.45,3.45,3
329,SEYY,50,1,130.58,2.41,3
325,SMQ,50,0,1000000,1000000,3
312,CDYXY,50,1,189.92,3.6,3
413,WS,50,0,1000000,1000000,4
426,WHG,50,1,122.06,2.24,4
437,HSD,50,1,164.56,3.09,4
442,XHZ,50,0,1000000,1000000,4
520,HGL,50,1,186.65,3.53,5
536,BZXEL,50,1,142.59,2.65,5
546,SXS,50,1,149.39,2.79,5
560,HL,50,1,176.13,3.32,5
727,CJD,50,0,1000000,1000000,7
726,LGDX,50,0,1000000,1000000,7
